"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,180,200,224,250,280,315,335,400,500,560,630,710
100,"1,84","2,26","2,76","3,31","3,93","4,66","5,08","6,43","8,50","9,74","11,18","12,82"
200,"3,60","4,43","5,42","6,50","7,74","9,18","10,00","12,66","16,73","19,16","21,98","25,19"
300,"5,32","6,56","8,04","9,64","11,48","13,62","14,83","18,78","24,78","28,35","32,48","37,15"
400,"7,02","8,66","10,62","12,73","15,16","17,98","19,59","24,77","32,63","37,26","42,60","48,59"
500,"8,70","10,73","13,16","15,78","18,79","22,27","24,25","30,62","40,22","45,84","52,26","59,38"
600,"10,35","12,77","15,66","18,78","22,35","26,48","28,82","36,32","47,53","54,02","61,36","69,38"
700,"11,98","14,78","18,13","21,73","25,84","30,59","33,27","41,84","54,50","61,74","69,80","78,46"
900,"15,16","18,71","22,93","27,45","32,59","38,49","41,80","52,24","67,23","75,49","84,34","93,27"
1.000,"16,71","20,62","25,26","30,21","35,84","42,25","45,84","57,08","72,90","81,40","90,22",
1.400,"22,59","27,83","33,99","40,49","47,73","55,79","60,20","73,39",,,,
1.500,"23,97","29,51","36,01","42,83","50,39","58,74","63,26","76,58",,,,
1.700,"26,61","32,72","39,82","47,20","55,27","64,02","68,66",,,,,
1.800,"27,86","34,23","41,60","49,22","57,48","66,32","70,95",,,,,
2.000,"30,23","37,06","44,90","52,89","61,38","70,21",,,,,,
2.500,"35,21","42,88","51,38","59,61",,,,,,,,
2.900,"38,08","46,02","54,44",,,,,,,,,
3.000,"38,63","46,56",,,,,,,,,,
3.500,"40,19",,,,,,,,,,,
