"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,63,71,80,90,100,112,125,140,150,160,170,180
100,"0,10","0,13","0,16","0,20","0,24","0,28","0,33","0,38","0,41","0,45","0,48","0,52"
200,"0,18","0,24","0,30","0,37","0,44","0,52","0,61","0,71","0,78","0,85","0,91","0,98"
500,"0,39","0,52","0,67","0,83","0,99","1,19","1,39","1,63","1,79","1,94","2,10","2,25"
700,"0,51","0,69","0,89","1,11","1,34","1,60","1,88","2,20","2,42","2,63","2,84","3,05"
900,"0,62","0,85","1,10","1,38","1,66","1,99","2,35","2,75","3,02","3,28","3,55","3,81"
1.000,"0,67","0,92","1,20","1,51","1,82","2,18","2,57","3,02","3,31","3,60","3,89","4,17"
1.400,"0,87","1,21","1,59","2,01","2,42","2,92","3,44","4,03","4,43","4,81","5,19","5,57"
1.500,"0,91","1,28","1,68","2,13","2,57","3,09","3,65","4,28","4,69","5,10","5,50","5,90"
1.700,"1,00","1,41","1,86","2,36","2,85","3,43","4,05","4,75","5,21","5,66","6,10","6,54"
1.800,"1,04","1,47","1,95","2,47","2,99","3,60","4,25","4,98","5,46","5,93","6,39","6,84"
2.500,"1,31","1,88","2,52","3,21","3,89","4,68","5,52","6,45","7,05","7,63","8,19","8,74"
2.900,"1,44","2,09","2,81","3,59","4,35","5,23","6,16","7,17","7,82","8,44","9,04","9,60"
3.000,"1,47","2,14","2,88","3,68","4,46","5,36","6,31","7,34","8,00","8,63","9,22","9,79"
3.400,"1,58","2,32","3,14","4,02","4,87","5,85","6,86","7,95","8,63","9,27","9,87","10,43*"
3.600,"1,63","2,41","3,26","4,18","5,06","6,07","7,11","8,22","8,90","9,54","10,13*","10,68*"
4.000,"1,72","2,57","3,49","4,47","5,41","6,47","7,55","8,67","9,35*","9,97*",,
5.000,"1,88","2,87","3,93","5,04","6,07","7,19","8,26*",,,,,
6.000,"1,94","3,03","4,18","5,35","6,39*",,,,,,,
