"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,80,85,90,95,100,106,112,125,140,160,180,200
100,"0,31","0,35","0,39","0,43","0,47","0,52","0,57","0,67","0,80","0,96","1,11","1,27"
200,"0,57","0,65","0,73","0,81","0,89","0,99","1,08","1,28","1,52","1,83","2,14","2,44"
500,"1,30","1,49","1,68","1,87","2,06","2,29","2,51","3,00","3,56","4,30","5,03","5,76"
700,"1,75","2,01","2,27","2,54","2,80","3,11","3,42","4,08","4,85","5,86","6,87","7,86"
900,"2,18","2,51","2,85","3,18","3,51","3,90","4,29","5,14","6,10","7,38","8,65","9,90"
1.000,"2,39","2,76","3,13","3,49","3,85","4,29","4,72","5,65","6,72","8,13","9,52","10,89"
1.400,"3,20","3,70","4,20","4,70","5,20","5,79","6,38","7,65","9,09","10,99","12,86","14,69"
1.500,"3,39","3,93","4,46","4,99","5,52","6,15","6,78","8,13","9,67","11,68","13,66","15,60"
1.700,"3,77","4,37","4,97","5,57","6,16","6,87","7,57","9,08","10,79","13,03","15,22","17,36"
1.800,"3,96","4,59","5,22","5,85","6,47","7,21","7,95","9,54","11,34","13,69","15,98","18,20"
2.500,"5,18","6,03","6,87","7,71","8,54","9,53","10,51","12,59","14,93","17,93","20,80","23,51"
2.900,"5,82","6,79","7,74","8,69","9,63","10,74","11,84","14,17","16,76","20,05","23,13","25,99*"
3.000,"5,97","6,97","7,95","8,93","9,89","11,03","12,16","14,54","17,19","20,54","23,66","26,53*"
3.500,"6,70","7,83","8,94","10,04","11,12","12,40","13,65","16,29","19,17","22,74","25,96*",
3.600,"6,83","7,99","9,12","10,25","11,35","12,65","13,93","16,61","19,53","23,13*","26,35*",
4.000,"7,35","8,60","9,83","11,03","12,22","13,61","14,97","17,80","20,84","24,49*",,
4.500,"7,92","9,28","10,61","11,91","13,18","14,67","16,11","19,06","22,15*",,,
5.000,"8,41","9,86","11,28","12,66","13,99","15,54","17,03","20,03*",,,,
