"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
100,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,02","0,02"
200,"0,00","0,00","0,01","0,01","0,02","0,02","0,03","0,03","0,03","0,03"
500,"0,00","0,01","0,02","0,03","0,05","0,06","0,06","0,07","0,08","0,08"
700,"0,00","0,01","0,03","0,05","0,06","0,08","0,09","0,10","0,11","0,12"
900,"0,00","0,01","0,03","0,06","0,08","0,10","0,12","0,13","0,14","0,15"
1.000,"0,00","0,01","0,04","0,07","0,09","0,11","0,13","0,15","0,16","0,17"
1.400,"0,00","0,02","0,05","0,09","0,13","0,15","0,18","0,20","0,22","0,23"
1.500,"0,00","0,02","0,06","0,10","0,14","0,17","0,19","0,22","0,24","0,25"
1.700,"0,00","0,02","0,07","0,11","0,15","0,19","0,22","0,25","0,27","0,29"
1.800,"0,00","0,03","0,07","0,12","0,16","0,20","0,23","0,26","0,29","0,30"
2.500,"0,00","0,04","0,10","0,17","0,23","0,28","0,32","0,36","0,40","0,42"
2.900,"0,00","0,04","0,11","0,19","0,26","0,32","0,37","0,42","0,46","0,49"
3.000,"0,00","0,04","0,12","0,20","0,27","0,33","0,39","0,44","0,48","0,50"
3.400,"0,00","0,05","0,13","0,23","0,31","0,38","0,44","0,49","0,54","0,57"
3.600,"0,00","0,05","0,14","0,24","0,33","0,40","0,47","0,52","0,57","0,60"
4.000,"0,00","0,06","0,15","0,27","0,36","0,44","0,52","0,58","0,63","0,67"
5.000,"0,00","0,07","0,19","0,33","0,46","0,55","0,65","0,73","0,79","0,84"
6.000,"0,00","0,08","0,23","0,40","0,55","0,66","0,78","0,87","0,95","1,01"
