"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,63,71,80,90,100,112,125,140,150,160,170,180
100,"0,08","0,10","0,13","0,16","0,18","0,22","0,25","0,30","0,32","0,35","0,38","0,41"
200,"0,14","0,19","0,24","0,29","0,34","0,41","0,48","0,56","0,61","0,66","0,71","0,77"
500,"0,30","0,41","0,52","0,65","0,78","0,93","1,09","1,27","1,40","1,52","1,64","1,76"
700,"0,40","0,54","0,70","0,87","1,04","1,25","1,47","1,72","1,89","2,05","2,21","2,38"
900,"0,48","0,66","0,86","1,08","1,30","1,55","1,83","2,15","2,35","2,56","2,77","2,97"
1.000,"0,52","0,72","0,94","1,18","1,42","1,70","2,01","2,35","2,58","2,81","3,03","3,26"
1.400,"0,68","0,94","1,24","1,57","1,89","2,27","2,68","3,15","3,45","3,75","4,05","4,35"
1.500,"0,71","1,00","1,31","1,66","2,00","2,41","2,85","3,34","3,66","3,98","4,29","4,60"
1.700,"0,78","1,10","1,45","1,84","2,23","2,68","3,16","3,71","4,06","4,41","4,76","5,10"
1.800,"0,81","1,15","1,52","1,93","2,33","2,81","3,31","3,88","4,26","4,62","4,98","5,34"
2.500,"1,02","1,47","1,96","2,50","3,03","3,65","4,30","5,03","5,50","5,95","6,39","6,82"
2.900,"1,12","1,63","2,19","2,80","3,39","4,08","4,80","5,60","6,10","6,59","7,05","7,49"
3.000,"1,15","1,67","2,25","2,87","3,48","4,19","4,92","5,73","6,24","6,73","7,20","7,64"
3.400,"1,23","1,81","2,45","3,14","3,80","4,57","5,35","6,20","6,73","7,24","7,70","8,14*"
3.600,"1,27","1,88","2,54","3,26","3,95","4,74","5,55","6,41","6,95","7,45","7,91*","8,33*"
4.000,"1,34","2,00","2,72","3,49","4,22","5,05","5,89","6,77","7,30*","7,78*",,
5.000,"1,47","2,24","3,06","3,93","4,73","5,61","6,45*",,,,,
6.000,"1,51","2,37","3,26","4,17","4,99*",,,,,,,
