XPA SECTION,
CODE,"EXTERNAL
LENGTH
LE (mm)"
XPA1232,1250
XPA1250,1268
XPA1257,1275
XPA1272,1290
XPA1282,1300
XPA1307,1325
XPA1320,1338
XPA1332,1350
XPA1357,1375
XPA1367,1385
XPA1382,1400
XPA1400,1418
XPA1407,1425
XPA1420,1438
XPA1432,1450
XPA1450,1468
XPA1457,1475
XPA1482,1500
XPA1500,1518
XPA1507,1525
XPA1532,1550
XPA1557,1575
XPA1582,1600
XPA1600,1618
XPA1607,1625
XPA1632,1650
XPA1650,1668
XPA1657,1675
XPA1682,1700
XPA1700,1718
XPA1732,1750
XPA1750,1768
XPA1757,1775
XPA1782,1800
XPA1800,1818
XPA1832,1850
XPA1850,1868
XPA1882,1900
