C SECTION,
CODE,"INTERNAL
LENGTH
LI (mm)"
C 162,4115
C 165,4193
C 166,4216
C 167,4242
C 168,4267
C 170,4318
C 173,4394
C 175,4445
C 177,4500
C 187,4750
C 190,4826
C 195,4953
C 197,5000
C 204,5182
C 208,5300
C 210,5334
C 216,5486
C 220,5550
C 222,5600
C 225,5678
C 228,5753
C 236,6000
C 238,6045
C 240,6062
C 248,6263
C 250,6300
C 255,6438
C 264,6670
C 265,6700
C 270,6822
C 276,6973
C 280,7100
C 285,7203
C 295,7493
C 297,7500
C 300,7582
C 303,7650
C 314,7976
C 315,7965
C 316,8000
C 320,8093
C 330,8382
C 336,8500
C 345,8723
C 360,9107
C 394,10000
C 420,10632
C 424,10733
