"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,112,118,132,140,150,160,180,200,224,250,265,280
100,"0,27","0,31","0,38","0,42","0,48","0,53","0,63","0,73","0,85","0,98","1,06","1,13"
200,"0,48","0,54","0,68","0,76","0,86","0,95","1,15","1,34","1,57","1,81","1,95","2,09"
500,"0,97","1,11","1,42","1,61","1,83","2,05","2,49","2,92","3,44","3,98","4,30","4,61"
700,"1,23","1,42","1,85","2,09","2,39","2,69","3,28","3,86","4,54","5,27","5,68","6,09"
900,"1,47","1,70","2,23","2,53","2,91","3,28","4,00","4,72","5,55","6,44","6,94","7,43"
1.000,"1,57","1,82","2,41","2,74","3,15","3,55","4,34","5,12","6,03","6,98","7,52","8,04"
1.400,"1,93","2,26","3,04","3,47","4,01","4,53","5,56","6,55","7,69","8,86","9,51","10,13"
1.500,"2,00","2,36","3,18","3,63","4,20","4,75","5,83","6,86","8,04","9,25","9,91","10,55"
1.700,"2,14","2,53","3,43","3,93","4,55","5,15","6,31","7,42","8,68","9,94","10,61","11,25"
1.800,"2,19","2,60","3,54","4,06","4,71","5,33","6,54","7,68","8,96","10,22","10,90","11,53"
2.500,"2,44","2,96","4,12","4,75","5,52","6,25","7,61","8,82","10,06","11,13*","11,60*",
2.900,"2,45","3,01","4,26","4,93","5,72","6,47","7,81","8,93*","9,95*",,,
3.000,"2,44","3,01","4,27","4,94","5,74","6,49","7,81","8,89*",,,,
3.500,"2,29","2,88","4,18","4,86","5,64","6,33","7,46*",,,,,
3.600,"2,23","2,84","4,13","4,81","5,57","6,25","7,32*",,,,,
4.000,"1,96","2,56","3,83","4,46","5,15*","5,73*",,,,,,
4.500,"1,44","2,03","3,19*","3,73*",,,,,,,,
5.000,"0,73","1,26*","2,23*",,,,,,,,,
