"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,140,150,160,170,180,200,225,250,280,315,355,400
100,"0,66","0,75","0,85","0,94","1,04","1,22","1,45","1,69","1,96","2,28","2,64","3,04"
200,"1,20","1,38","1,56","1,74","1,92","2,28","2,7","3,16","3,68","4,29","4,97","5,74"
500,"2,60","3,02","3,45","3,87","4,29","5,12","6,11","7,16","8,37","9,76","11,33","13,06"
700,"3,43",4,"4,58","5,15","5,72","6,85","8,18","9,61","11,23","13,08","15,16","17,43"
900,"4,19","4,92","5,64","6,35","7,06","8,47","10,13","11,89","13,88","16,15","18,66","21,38"
1.000,"4,56","5,35","6,14","6,93","7,71","9,24","11,05","12,98","15,14","17,59","20,29","23,18"
1.400,"5,88","6,95",8,"9,04","10,07","12,09","14,44","16,9","19,62","22,62","25,81","29,05"
1.500,"6,19","7,31","8,43","9,53","10,61","12,73","15,2","17,77","20,6","23,68","26,92","30,14*"
1.700,"6,75",8,"9,23","10,44","11,63","13,95","16,62","19,38","22,36","25,54","28,77*",
1.800,"7,02","8,32","9,6","10,86","12,1","14,51","17,27","20,1","23,13","26,33","29,49*",
2.000,"7,51","8,92","10,3","11,66","12,98","15,55","18,46","21,39","24,47","27,60*",,
2.500,"8,51","10,14","11,73","13,27","14,76","17,58","20,65","23,58*",,,,
2.900,"9,05","10,82","12,52","14,14","15,69","18,55*","21,52*",,,,,
3.000,"9,15","10,94","12,66","14,3","15,85","18,69*",,,,,,
3.500,"9,40","11,27","13,02","14,65*","16,16*",,,,,,,
3.600,"9,40","11,27","13,02","14,64*","16,12*",,,,,,,
4.000,"9,21","11,06*","12,75*",,,,,,,,,
4.600,"8,33*",,,,,,,,,,,
