"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,03","1,04/1,06","1,07/1,08","1,09/1,12","1,13/1,16","1,17/1,22","1,23/1,32","1,33/1,50","OVER 1,51"
50,"0,00","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,04","0,04"
100,"0,00","0,01","0,02","0,03","0,04","0,06","0,07","0,08","0,09","0,09"
200,"0,00","0,02","0,04","0,07","0,09","0,11","0,12","0,14","0,17","0,19"
400,"0,00","0,04","0,09","0,12","0,17","0,21","0,25","0,29","0,33","0,37"
600,"0,00","0,07","0,12","0,19","0,25","0,32","0,37","0,44","0,50","0,56"
800,"0,00","0,08","0,14","0,22","0,30","0,36","0,44","0,51","0,58","0,65"
900,"0,00","0,09","0,17","0,25","0,33","0,42","0,50","0,58","0,66","0,75"
1000,"0,00","0,10","0,19","0,29","0,37","0,47","0,56","0,66","0,75","0,84"
1200,"0,00","0,10","0,21","0,32","0,42","0,53","0,63","0,73","0,84","0,94"
1400,"0,00","0,14","0,30","0,44","0,58","0,74","0,87","1,02","1,17","1,31"
1500,"0,00","0,15","0,32","0,47","0,63","0,78","0,94","1,09","1,24","1,40"
1600,"0,00","0,17","0,33","0,51","0,67","0,84","0,99","1,17","1,32","1,49"
1700,"0,00","0,18","0,35","0,54","0,72","0,89","1,06","1,24","1,41","1,58"
1800,"0,00","0,19","0,37","0,57","0,75","0,95","1,12","1,31","1,50","1,68"
2000,"0,00","0,21","0,42","0,63","0,84","1,05","1,24","1,45","1,66","1,87"
2200,"0,00","0,23","0,46","0,69","0,92","1,15","1,37","1,60","1,83","2,05"
2400,"0,00","0,25","0,51","0,76","1,00","1,26","1,50","1,75","2,00","2,24"
2500,"0,00","0,26","0,53","0,79","1,05","1,31","1,56","1,83","2,08","2,33"
