"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,,,,,,
RPM / Ø,40,45,50,56,63,71,80,85,90,95,100,106,112,125,132,140,150
100,"0,03","0,04","0,05","0,06","0,07","0,09","0,11","0,12","0,13","0,14","0,14","0,16","0,17","0,19","0,21","0,22","0,24"
200,"0,05","0,07","0,09","0,11","0,13","0,16","0,20","0,22","0,24","0,25","0,27","0,29","0,32","0,36","0,39","0,42","0,45"
300,"0,06","0,09","0,12","0,15","0,19","0,24","0,28","0,31","0,34","0,36","0,39","0,42","0,46","0,52","0,56","0,60","0,65"
400,"0,08","0,12","0,15","0,20","0,25","0,30","0,37","0,40","0,44","0,47","0,51","0,55","0,59","0,68","0,73","0,78","0,85"
500,"0,09","0,14","0,18","0,24","0,30","0,37","0,45","0,49","0,53","0,58","0,62","0,67","0,72","0,83","0,89","0,95","1,04"
600,"0,10","0,16","0,21","0,28","0,35","0,43","0,52","0,58","0,63","0,68","0,73","0,79","0,85","0,98","1,04","1,12","1,22"
700,"0,12","0,18","0,24","0,31","0,40","0,49","0,60","0,66","0,72","0,78","0,83","0,90","0,97","1,12","1,20","1,29","1,4"
800,"0,13","0,20","0,27","0,35","0,45","0,55","0,67","0,74","0,81","0,87","0,94","1,02","1,09","1,26","1,35","1,45","1,57"
900,"0,14","0,22","0,29","0,39","0,49","0,61","0,75","0,82","0,89","0,97","1,04","1,13","1,21","1,40","1,49","1,61","1,74"
1000,"0,15","0,23","0,32","0,42","0,54","0,67","0,82","0,90","0,98","1,06","1,14","1,23","1,33","1,53","1,64","1,76","1,91"
1200,"0,17","0,27","0,37","0,49","0,63","0,78","0,96","1,05","1,15","1,24","1,33","1,45","1,56","1,79","1,92","2,06","2,23"
1400,"0,18","0,30","0,41","0,55","0,71","0,89","1,09","1,20","1,31","1,41","1,52","1,65","1,77","2,04","2,18","2,34","2,54"
1600,"0,20","0,33","0,46","0,61","0,79","0,99","1,22","1,34","1,46","1,58","1,70","1,84","1,98","2,28","2,44","2,62","2,83"
1800,"0,21","0,35","0,50","0,67","0,87","1,10","1,34","1,48","1,61","1,74","1,88","2,03","2,18","2,51","2,68","2,87","3,11"
2000,"0,22","0,38","0,54","0,73","0,95","1,19","1,46","1,61","1,76","1,90","2,04","2,21","2,38","2,73","2,91","3,11","3,36"
2400,"0,24","0,43","0,62","0,84","1,09","1,38","1,69","1,86","2,03","2,19","2,35","2,54","2,73","3,12","3,33","3,55","3,82"
2800,"0,25","0,47","0,68","0,94","1,22","1,55","1,90","2,09","2,27","2,46","2,64","2,84","3,05","3,47","3,68","3,91","4,18"
3200,"0,26","0,50","0,74","1,03","1,35","1,70","2,09","2,29","2,50","2,69","2,88","3,11","3,32","3,75","3,97","4,20","4,46"
3500,"0,26","0,53","0,78","1,09","1,43","1,81","2,22","2,43","2,65","2,85","3,05","3,28","3,49","3,92","4,13","4,35","4,59"
4000,"0,26","0,56","0,84","1,18","1,55","1,97","2,40","2,64","2,86","3,07","3,27","3,50","3,72","4,12","4,31","4,49","4,67"
4600,"0,26","0,58","0,90","1,27","1,68","2,12","2,59","2,82","3,05","3,26","3,46","3,68","3,87","4,21","4,34","4,44",
5000,"0,24","0,59","0,93","1,32","1,75","2,20","2,67","2,91","3,14","3,34","3,53","3,72","3,89","4,15","4,23",,
