"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,56,60,63,67,71,80,90,100,112,125,132,140
100,"0,13","0,16","0,17","0,19","0,21","0,26","0,32","0,37","0,43","0,50","0,54","0,58"
200,"0,25","0,29","0,32","0,37","0,41","0,50","0,61","0,71","0,83","0,97","1,04","1,12"
500,"0,57","0,67","0,74","0,85","0,95","1,17","1,42","1,67","1,96","2,28","2,45","2,65"
700,"0,77","0,90","1,01","1,15","1,29","1,60","1,94","2,28","2,69","3,12","3,36","3,63"
900,"0,95","1,13","1,26","1,44","1,62","2,01","2,45","2,88","3,39","3,94","4,24","4,58"
1.000,"1,05","1,24","1,39","1,58","1,78","2,21","2,69","3,17","3,74","4,35","4,67","5,04"
1.400,"1,40","1,67","1,87","2,14","2,41","3,00","3,66","4,31","5,08","5,91","6,35","6,85"
1.500,"1,49","1,78","1,99","2,28","2,56","3,20","3,90","4,59","5,41","6,29","6,76","7,29"
1.700,"1,66","1,98","2,22","2,54","2,86","3,58","4,36","5,14","6,05","7,04","7,56","8,15"
1.800,"1,74","2,08","2,34","2,68","3,01","3,76","4,59","5,40","6,37","7,40","7,95","8,57"
2.500,"2,30","2,76","3,10","3,56","4,01","5,02","6,12","7,20","8,46","9,80","10,50","11,29"
2.900,"2,59","3,12","3,51","4,03","4,54","5,69","6,93","8,15","9,56","11,04","11,82","12,68"
3.000,"2,66","3,20","3,61","4,14","4,67","5,85","7,13","8,38","9,83","11,34","12,12","13,00"
3.500,"3,00","3,63","4,09","4,70","5,30","6,63","8,07","9,46","11,06","12,70","13,55","14,47"
3.600,"3,07","3,71","4,18","4,80","5,42","6,78","8,25","9,66","11,29","12,95","13,80","14,73"
4.000,"3,32","4,02","4,53","5,21","5,88","7,35","8,93","10,44","12,15","13,87","14,74","15,68"
4.500,"3,62","4,38","4,94","5,69","6,42","8,01","9,71","11,30","13,08","14,83","15,68*","16,58*"
5.000,"3,88","4,71","5,32","6,12","6,90","8,61","10,39","12,04","13,84","15,55*","16,35*",
