"P (kW) referred to i
d",,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,26","1,27/1,57","OVER 1,57"
100,"0,00","0,00","0,01","0,01","0,01"
200,"0,00","0,00","0,02","0,02","0,03"
500,"0,00","0,01","0,04","0,06","0,07"
700,"0,00","0,01","0,06","0,08","0,10"
900,"0,00","0,01","0,07","0,10","0,12"
1.000,"0,00","0,01","0,08","0,11","0,14"
1.400,"0,00","0,02","0,11","0,16","0,19"
1.500,"0,00","0,02","0,12","0,17","0,21"
1.700,"0,00","0,02","0,14","0,19","0,24"
1.800,"0,00","0,02","0,14","0,21","0,25"
2.500,"0,00","0,03","0,20","0,29","0,35"
2.900,"0,00","0,04","0,23","0,33","0,40"
3.000,"0,00","0,04","0,24","0,34","0,42"
3.500,"0,00","0,04","0,28","0,40","0,49"
3.600,"0,00","0,04","0,29","0,41","0,50"
4.000,"0,00","0,05","0,32","0,46","0,55"
4.500,"0,00","0,06","0,36","0,52","0,62"
5.000,"0,00","0,06","0,40","0,57","0,69"
