SPZ SECTION,
CODE,"EXTERNAL
LENGTH
LE (mm)"
SPZ 1737,1750
SPZ 1750,1763
SPZ 1762,1775
SPZ 1787,1800
SPZ 1800,1813
SPZ 1812,1825
SPZ 1837,1850
SPZ 1850,1863
SPZ 1862,1875
SPZ 1887,1900
SPZ 1900,1913
SPZ 1937,1950
SPZ 1962,1975
SPZ 1987,2000
SPZ 2000,2013
SPZ 2019,2032
SPZ 2030,2043
SPZ 2037,2050
SPZ 2062,2075
SPZ 2087,2100
SPZ 2120,2133
SPZ 2137,2150
SPZ 2150,2163
SPZ 2160,2173
SPZ 2187,2200
SPZ 2240,2253
SPZ 2262,2275
SPZ 2287,2300
SPZ 2360,2373
SPZ 2410,2423
SPZ 2437,2450
SPZ 2487,2500
SPZ 2500,2513
SPZ 2540,2553
SPZ 2650,2663
SPZ 2690,2703
SPZ 2800,2813
SPZ 2840,2853
SPZ 3000,3013
SPZ 3150,3163
SPZ 3350,3363
SPZ 3550,3563
