"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00 / 1,01","1,02 / 1,03","1,04 / 1,06","1,07 / 1,08","1,09 / 1,12","1,13 / 1,16","1,17 / 1,22","1,23 / 1,32","1,33 / 1,50","OVER 1,51"
100,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
200,"0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01"
300,"0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,01"
400,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,02","0,02"
500,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,02","0,02","0,02"
600,"0,00","0,00","0,01","0,01","0,01","0,01","0,02","0,02","0,02","0,03"
700,"0,00","0,00","0,01","0,01","0,01","0,02","0,02","0,02","0,03","0,03"
800,"0,00","0,00","0,01","0,01","0,02","0,02","0,02","0,03","0,03","0,04"
900,"0,00","0,00","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,04"
1000,"0,00","0,00","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,04"
1200,"0,00","0,01","0,01","0,02","0,02","0,03","0,04","0,04","0,05","0,05"
1400,"0,00","0,01","0,01","0,02","0,03","0,03","0,04","0,05","0,06","0,06"
1600,"0,00","0,01","0,02","0,02","0,03","0,04","0,05","0,06","0,06","0,07"
1800,"0,00","0,01","0,02","0,03","0,04","0,04","0,05","0,06","0,07","0,08"
2000,"0,00","0,01","0,02","0,03","0,04","0,05","0,06","0,07","0,08","0,09"
2400,"0,00","0,01","0,02","0,04","0,05","0,06","0,07","0,08","0,09","0,11"
2800,"0,00","0,01","0,03","0,04","0,06","0,07","0,08","0,10","0,11","0,12"
3200,"0,00","0,02","0,03","0,05","0,06","0,08","0,10","0,11","0,13","0,14"
3500,"0,00","0,02","0,03","0,05","0,07","0,09","0,10","0,12","0,14","0,16"
4000,"0,00","0,02","0,04","0,06","0,08","0,10","0,12","0,14","0,16","0,18"
4600,"0,00","0,02","0,05","0,07","0,09","0,11","0,14","0,16","0,18","0,20"
5000,"0,00","0,02","0,05","0,07","0,10","0,12","0,15","0,17","0,20","0,22"
