"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
100,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,01","0,01"
200,"0,00","0,00","0,01","0,01","0,01","0,02","0,02","0,02","0,02","0,03"
500,"0,00","0,01","0,01","0,03","0,04","0,04","0,05","0,06","0,06","0,07"
700,"0,00","0,01","0,02","0,04","0,05","0,06","0,07","0,08","0,09","0,09"
900,"0,00","0,01","0,03","0,05","0,06","0,08","0,09","0,10","0,11","0,12"
1.000,"0,00","0,01","0,03","0,05","0,07","0,09","0,10","0,11","0,12","0,13"
1.400,"0,00","0,02","0,04","0,07","0,10","0,12","0,14","0,16","0,17","0,18"
1.500,"0,00","0,02","0,04","0,08","0,11","0,13","0,15","0,17","0,18","0,20"
1.700,"0,00","0,02","0,05","0,09","0,12","0,15","0,17","0,19","0,21","0,22"
1.800,"0,00","0,02","0,05","0,09","0,13","0,15","0,18","0,20","0,22","0,23"
2.500,"0,00","0,03","0,07","0,13","0,18","0,21","0,25","0,28","0,31","0,33"
2.900,"0,00","0,03","0,09","0,15","0,21","0,25","0,29","0,33","0,36","0,38"
3.000,"0,00","0,03","0,09","0,16","0,21","0,26","0,30","0,34","0,37","0,39"
3.400,"0,00","0,04","0,10","0,18","0,24","0,29","0,34","0,38","0,42","0,44"
3.600,"0,00","0,04","0,11","0,19","0,25","0,31","0,36","0,41","0,44","0,47"
4.000,"0,00","0,04","0,12","0,21","0,28","0,34","0,40","0,45","0,49","0,52"
5.000,"0,00","0,05","0,15","0,26","0,35","0,43","0,50","0,56","0,62","0,65"
6.000,"0,00","0,07","0,18","0,31","0,42","0,51","0,60","0,68","0,74","0,78"
