"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,224,236,250,280,315,355,400,450,500,560,600,630
50,"0,84","0,92","1,02","1,23","1,46","1,73","2,04","2,37","2,70","3,09","3,35","3,55"
100,"1,55","1,71","1,89","2,29","2,74","3,26","3,83","4,47","5,10","5,85","6,34","6,71"
150,"2,21","2,44","2,71","3,28","3,94","4,70","5,54","6,46","7,38","8,47","9,19","9,72"
200,"2,83","3,13","3,48","4,23","5,10","6,08","7,18","8,38","9,57","10,99","11,93","12,62"
300,"4,01","4,45","4,96","6,05","7,31","8,73","10,31","12,05","13,77","15,80","17,14","18,14"
400,"5,11","5,68","6,35","7,77","9,40","11,25","13,29","15,53","17,74","20,34","22,04","23,31"
600,"7,15","7,98","8,94","10,97","13,31","15,93","18,82","21,95","25,01","28,55","30,84","32,52"
700,"8,10","9,04","10,14","12,47","15,13","18,10","21,37","24,89","28,28","32,19","34,69","36,51"
750,"8,55","9,56","10,72","13,19","16,01","19,15","22,59","26,28","29,83","33,89","36,46","38,32"
900,"9,86","11,03","12,39","15,25","18,50","22,11","26,01","30,14","34,05","38,41","41,10","43,01"
1.000,"10,67","11,95","13,43","16,53","20,05","23,92","28,08","32,43","36,48","40,91","43,59*","45,43*"
1.400,"13,47","15,12","17,00","20,91","25,23","29,80","34,47",,"42,74*",,,
1.500,"14,05","15,77","17,74","21,80","26,24","30,89","35,53*",,,,,
1.700,"15,05","16,91","19,01","23,30","27,88","32,53*",,,,,,
1.800,"15,48","17,38","19,54","23,90","28,51",,,,,,,
2.000,"16,15","18,14","20,37","24,80",,,,,,,,
2.500,"16,74","18,77*","20,96*",,,,,,,,,
