"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,03","1,04/1,06","1,07/1,08","1,09/1,12","1,13/1,16","1,17/1,22","1,23/1,32","1,33/1,50","OVER 1,51"
100,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
200,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01"
500,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,02","0,02"
700,"0,00","0,00","0,01","0,01","0,01","0,01","0,02","0,02","0,02","0,03"
900,"0,00","0,00","0,01","0,01","0,01","0,02","0,02","0,03","0,03","0,03"
1.000,"0,00","0,00","0,01","0,01","0,02","0,02","0,02","0,03","0,03","0,04"
1.400,"0,00","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,05","0,05"
1.500,"0,00","0,01","0,01","0,02","0,02","0,03","0,04","0,04","0,05","0,05"
1.700,"0,00","0,01","0,01","0,02","0,03","0,03","0,04","0,05","0,05","0,06"
1.800,"0,00","0,01","0,01","0,02","0,03","0,04","0,04","0,05","0,06","0,07"
2.500,"0,00","0,01","0,02","0,03","0,04","0,05","0,06","0,07","0,08","0,09"
2.900,"0,00","0,01","0,02","0,04","0,05","0,06","0,07","0,08","0,09","0,10"
3.000,"0,00","0,01","0,02","0,04","0,05","0,06","0,07","0,08","0,10","0,11"
3.500,"0,00","0,01","0,03","0,04","0,06","0,07","0,08","0,10","0,11","0,13"
3.600,"0,00","0,01","0,03","0,04","0,06","0,07","0,09","0,10","0,12","0,13"
4.000,"0,00","0,02","0,03","0,05","0,06","0,08","0,10","0,11","0,13","0,14"
5.000,"0,00","0,02","0,04","0,06","0,08","0,10","0,12","0,14","0,16","0,18"
6.000,"0,00","0,02","0,05","0,07","0,10","0,12","0,15","0,17","0,19","0,22"
