"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
100,"0,00","0,00","0,01","0,02","0,02","0,03","0,03","0,03","0,04","0,04"
200,"0,00","0,01","0,02","0,03","0,04","0,05","0,06","0,07","0,07","0,08"
500,"0,00","0,02","0,05","0,08","0,11","0,13","0,15","0,17","0,19","0,20"
700,"0,00","0,02","0,06","0,11","0,15","0,18","0,21","0,24","0,26","0,28"
900,"0,00","0,03","0,08","0,14","0,19","0,23","0,27","0,31","0,34","0,35"
1.000,"0,00","0,03","0,09","0,16","0,21","0,26","0,30","0,34","0,37","0,39"
1.400,"0,00","0,05","0,13","0,22","0,30","0,36","0,43","0,48","0,52","0,55"
1.500,"0,00","0,05","0,14","0,24","0,32","0,39","0,46","0,51","0,56","0,59"
1.700,"0,00","0,06","0,15","0,27","0,36","0,44","0,52","0,58","0,63","0,67"
1.800,"0,00","0,06","0,16","0,28","0,39","0,47","0,55","0,62","0,67","0,71"
2.500,"0,00","0,08","0,23","0,39","0,53","0,65","0,76","0,85","0,93","0,99"
2.900,"0,00","0,10","0,26","0,46","0,62","0,75","0,88","0,99","1,08","1,14"
3.000,"0,00","0,10","0,27","0,47","0,64","0,78","0,91","1,03","1,12","1,18"
3.500,"0,00","0,12","0,32","0,55","0,75","0,91","1,06","1,20","1,30","1,38"
3.600,"0,00","0,12","0,32","0,57","0,77","0,93","1,09","1,23","1,34","1,42"
4.000,"0,00","0,13","0,36","0,63","0,86","1,04","1,21","1,37","1,49","1,58"
4.600,"0,00","0,15","0,41","0,72","0,98","1,19","1,40","1,57","1,71","1,81"
5.000,"0,00","0,17","0,45","0,79","1,07","1,30","1,52","1,71","1,86","1,97"
