SPA SECTION,
CODE,"EXTERNAL
LENGTH
LE (mm)"
SPA 2240,2258
SPA 2282,2300
SPA 2300,2318
SPA 2307,2325
SPA 2332,2350
SPA 2360,2378
SPA 2382,2400
SPA 2432,2450
SPA 2482,2500
SPA 2500,2518
SPA 2532,2550
SPA 2582,2600
SPA 2607,2625
SPA 2632,2650
SPA 2650,2668
SPA 2682,2700
SPA 2732,2750
SPA 2782,2800
SPA 2800,2818
SPA 2832,2850
SPA 2847,2865
SPA 2882,2900
SPA 2900,2918
SPA 2932,2950
SPA 2982,3000
SPA 3000,3018
SPA 3032,3050
SPA 3082,3100
SPA 3150,3168
SPA 3182,3200
SPA 3250,3268
SPA 3282,3300
SPA 3350,3368
SPA 3382,3400
SPA 3550,3568
SPA 3650,3668
SPA 3750,3768
SPA 4000,4018
SPA 4250,4268
SPA 4500,4518
SPA 4750,4768
