"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,112,118,125,132,140,160,180,200,224,250,265,280
100,"0,73","0,81","0,90","0,99","1,10","1,37","1,63","1,89","2,21","2,54","2,74","2,93"
200,"1,36","1,52","1,70","1,88","2,09","2,60","3,11","3,62","4,23","4,88","5,26","5,63"
500,"3,10","3,47","3,91","4,34","4,83","6,06","7,29","8,50","9,95","11,50","12,40","13,29"
700,"4,18","4,69","5,29","5,89","6,57","8,26","9,93","11,60","13,58","15,70","16,92","18,14"
900,"5,21","5,87","6,62","7,38","8,24","10,38","12,49","14,59","17,09","19,76","21,29","22,81"
1.000,"5,72","6,44","7,28","8,11","9,06","11,41","13,75","16,06","18,80","21,74","23,41","25,07"
1.400,"7,66","8,64","9,78","10,92","12,21","15,42","18,58","21,69","25,37","29,27","31,49","33,67"
1.500,"8,12","9,17","10,39","11,60","12,98","16,38","19,74","23,04","26,94","31,06","33,40","35,70"
1.700,"9,03","10,21","11,57","12,93","14,47","18,27","22,00","25,67","29,97","34,51","37,07","39,57"
1.800,"9,48","10,71","12,15","13,57","15,19","19,19","23,11","26,95","31,44","36,17","38,82","41,42"
2.500,"12,39","14,04","15,94","17,83","19,97","25,20","30,25","35,12","40,70","46,40*","49,51*",
2.900,"13,89","15,76","17,91","20,03","22,43","28,25","33,82","39,11*","45,08*",,,
3.000,"14,25","16,16","18,37","20,55","23,01","28,97","34,65","40,03*",,,,
3.500,"15,91","18,07","20,55","22,98","25,70","32,25","38,37*",,,,,
3.600,"16,22","18,42","20,95","23,42","26,20","32,84*","39,02*",,,,,
4.000,"17,36","19,73","22,43","25,08","28,02","34,98*",,,,,,
4.500,"18,59","21,13","24,01","26,82","29,91*",,,,,,,
5.000,"19,56","22,24*","25,26*","28,17*",,,,,,,,
