"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,03","1,04/1,06","1,07/1,08","1,09/1,12","1,13/1,16","1,17/1,22","1,23/1,32","1,33/1,50","OVER 1,51"
100,"0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,01"
200,"0,00","0,00","0,01","0,01","0,01","0,02","0,02","0,02","0,03","0,03"
500,"0,00","0,01","0,02","0,02","0,03","0,04","0,05","0,06","0,07","0,07"
700,"0,00","0,01","0,02","0,03","0,05","0,06","0,07","0,08","0,09","0,10"
900,"0,00","0,01","0,03","0,04","0,06","0,07","0,09","0,10","0,12","0,13"
1.000,"0,00","0,02","0,03","0,05","0,07","0,08","0,10","0,11","0,13","0,15"
1.400,"0,00","0,02","0,05","0,07","0,09","0,11","0,14","0,16","0,18","0,21"
1.500,"0,00","0,02","0,05","0,07","0,10","0,12","0,15","0,17","0,20","0,22"
1.700,"0,00","0,03","0,06","0,08","0,11","0,14","0,17","0,20","0,22","0,25"
1.800,"0,00","0,03","0,06","0,09","0,12","0,15","0,18","0,21","0,24","0,26"
2.500,"0,00","0,04","0,08","0,12","0,16","0,20","0,25","0,29","0,33","0,37"
2.900,"0,00","0,05","0,09","0,14","0,19","0,24","0,29","0,33","0,38","0,43"
3.000,"0,00","0,05","0,10","0,15","0,20","0,24","0,30","0,34","0,39","0,44"
3.500,"0,00","0,06","0,11","0,17","0,23","0,29","0,35","0,40","0,46","0,51"
3.600,"0,00","0,06","0,12","0,18","0,24","0,29","0,36","0,41","0,47","0,53"
4.000,"0,00","0,07","0,13","0,20","0,26","0,33","0,39","0,46","0,52","0,59"
5.000,"0,00","0,08","0,16","0,25","0,33","0,41","0,49","0,57","0,65","0,74"
6.000,"0,00","0,10","0,20","0,29","0,39","0,49","0,59","0,69","0,79","0,88"
