"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
50,"0,00","0,01","0,03","0,05","0,06","0,08","0,09","0,10","0,11","0,12"
100,"0,00","0,02","0,05","0,09","0,13","0,15","0,18","0,20","0,22","0,23"
150,"0,00","0,03","0,08","0,14","0,19","0,23","0,27","0,30","0,33","0,35"
200,"0,00","0,04","0,11","0,19","0,25","0,31","0,36","0,41","0,44","0,47"
300,"0,00","0,06","0,16","0,28","0,38","0,46","0,54","0,61","0,66","0,70"
400,"0,00","0,08","0,21","0,37","0,51","0,62","0,72","0,81","0,88","0,94"
600,"0,00","0,12","0,32","0,56","0,76","0,92","1,08","1,22","1,33","1,40"
700,"0,00","0,14","0,37","0,65","0,89","1,08","1,26","1,42","1,55","1,64"
750,"0,00","0,15","0,40","0,70","0,95","1,15","1,35","1,52","1,66","1,76"
900,"0,00","0,18","0,48","0,84","1,14","1,39","1,62","1,83","1,99","2,11"
1.000,"0,00","0,20","0,54","0,93","1,27","1,54","1,80","2,03","2,21","2,34"
1.400,"0,00","0,28","0,75","1,31","1,78","2,15","2,52","2,84","3,09","3,28"
1.500,"0,00","0,29","0,80","1,40","1,91","2,31","2,70","3,04","3,32","3,51"
1.700,"0,00","0,33","0,91","1,59","2,16","2,62","3,06","3,45","3,76","3,98"
1.800,"0,00","0,35","0,96","1,68","2,29","2,77","3,24","3,65","3,98","4,21"
2.000,"0,00","0,39","1,07","1,87","2,54","3,08","3,61","4,06","4,42","4,68"
2.500,"0,00","0,49","1,34","2,33","3,18","3,85","4,51","5,07","5,53","5,85"
