"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,140,160,180,200,224,250,280,315,335,400,500,560
100,"0,95","1,14","1,32","1,51","1,73","1,96","2,23","2,54","2,71","3,27","4,11","4,6"
200,"1,7","2,05","2,39","2,73","3,14","3,57","4,06","4,63","4,94","5,96","7,48","8,37"
300,"2,37","2,87","3,36","3,85","4,43","5,04","5,74","6,53","6,99","8,42","10,55","11,78"
400,"2,99","3,64","4,27","4,89","5,63","6,41","7,3","8,32","8,89","10,7","13,37","14,91"
500,"3,58","4,36","5,12","5,88","6,77","7,71","8,78",10,"10,68","12,84","15,98","17,77"
600,"4,13","5,04","5,94","6,81","7,85","8,94","10,18","11,58","12,37","14,84","18,38","20,35"
700,"4,66","5,7","6,71","7,71","8,88","10,12","11,51","13,08","13,96","16,7","20,55","22,65"
900,"5,64","6,92","8,17","9,38","10,8","12,3","13,96","15,83","16,86","19,99","24,19","26,31"
1.000,"6,1","7,49","8,85","10,17","11,7","13,31","15,09","17,07","18,15","21,42","25,63","27,64"
1.400,"7,76","9,56","11,29","12,95","14,85","16,8","18,9","21,13","22,3","25,5",,
1.500,"8,14","10,02","11,83","13,56","15,53","17,54","19,67","21,9","23,05","26,07",,
1.700,"8,83","10,88","12,83","14,68","16,75","18,83","20,97","23,13","24,17",,,
1.800,"9,15","11,27","13,28","15,18","17,29","19,38","21,5","23,57","24,54",,,
2.000,"9,74",12,"14,11","16,07","18,22","20,28","22,29","24,09",,,,
2.500,"10,92","13,4","15,63","17,61","19,62","21,31",,,,,,
2.900,"11,54","14,07","16,25","18,05","19,67",,,,,,,
3.000,"11,65","14,18","16,32","18,04",,,,,,,,
3.500,"11,89","14,27","16,07",,,,,,,,,
