"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,90,100,112,125,140,160,180,200,224,250,265,280
100,"0,37","0,43","0,5","0,57","0,66","0,77","0,88","0,99","1,12","1,26","1,34","1,41"
200,"0,65","0,75","0,88","1,02","1,18","1,38","1,59","1,79","2,02","2,27","2,41","2,55"
500,"1,32","1,57","1,85","2,15","2,49","2,94","3,38","3,81","4,31","4,85","5,15","5,45"
700,"1,7","2,02","2,4","2,8","3,25","3,84","4,42","4,98","5,63","6,33","6,72","7,1"
900,"2,05","2,44","2,9","3,39","3,95","4,67","5,36","6,04","6,83","7,65","8,12","8,57"
1.000,"2,2","2,63","3,14","3,67","4,27","5,05","5,81","6,54","7,38","8,27","8,76","9,24"
1.400,"2,77","3,33","3,99","4,68","5,45","6,44","7,39","8,3","9,32","10,36","10,92","11,46"
1.500,"2,9","3,49","4,18","4,91","5,72","6,76","7,74","8,68","9,73","10,79","11,36","11,9"
1.700,"3,14","3,79","4,54","5,34","6,22","7,34","8,39","9,38","10,47","11,54","12,11","12,63"
1.800,"3,25","3,93","4,71","5,54","6,45","7,6","8,69","9,69","10,8","11,86","12,41","12,91"
2.500,"3,89","4,74","5,71","6,7","7,77","9,07","10,21","11,19","12,14","12,85*","13,11*",
2.900,"4,16","5,08","6,12","7,17","8,28","9,56","10,63","11,45*","12,09*",,,
3.000,"4,22","5,15","6,21","7,27","8,37","9,65","10,67","11,44*",,,,
3.500,"4,42","5,42","6,52","7,59","8,66","9,78","10,54*",,,,,
3.600,"4,45","5,46","6,56","7,63","8,68","9,76*","10,44*",,,,,
4.000,"4,52","5,54","6,64","7,67","8,61","9,44*",,,,,,
4.500,"4,49","5,51","6,56","7,47*","8,19*",,,,,,,
5.000,"4,34","5,31*","6,26*","6,97*",,,,,,,,
