"P (kW) referred to i
d",,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,26","1,27/1,57","OVER 1,57"
100,"0,00","0,01","0,07","0,10","0,12"
200,"0,00","0,02","0,14","0,20","0,25"
300,"0,00","0,03","0,21","0,30","0,37"
400,"0,00","0,04","0,28","0,41","0,49"
500,"0,00","0,06","0,35","0,51","0,61"
600,"0,00","0,07","0,42","0,61","0,74"
700,"0,00","0,08","0,49","0,71","0,86"
900,"0,00","0,10","0,64","0,91","1,10"
1.000,"0,00","0,11","0,71","1,01","1,23"
1.400,"0,00","0,15","0,99","1,42","1,72"
1.500,"0,00","0,17","1,06","1,52","1,84"
1.700,"0,00","0,19","1,20","1,72","2,08"
1.800,"0,00","0,20","1,27","1,82","2,21"
2.000,"0,00","0,22","1,41","2,03","2,45"
2.500,"0,00","0,28","1,76","2,53","3,07"
2.900,"0,00","0,32","2,05","2,94","3,56"
3.000,"0,00","0,33","2,12","3,04","3,68"
3.500,"0,00","0,39","2,47","3,55","4,29"
