"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,71,80,90,100,112,125,132,150,170,190,200,212
100,"0,10","0,13","0,17","0,20","0,24","0,29","0,31","0,37","0,44","0,50","0,53","0,57"
200,"0,18","0,23","0,30","0,36","0,44","0,52","0,57","0,68","0,80","0,93","0,99","1,06"
500,"0,34","0,48","0,63","0,78","0,95","1,14","1,24","1,50","1,78","2,05","2,19","2,35"
700,"0,43","0,62","0,82","1,02","1,26","1,51","1,64","1,99","2,36","2,73","2,91","3,13"
900,"0,51","0,74","0,99","1,24","1,54","1,85","2,02","2,45","2,91","3,37","3,59","3,86"
1.000,"0,54","0,80","1,07","1,35","1,67","2,02","2,20","2,67","3,17","3,67","3,91","4,20"
1.400,"0,66","1,00","1,37","1,73","2,16","2,62","2,87","3,48","4,14","4,77","5,08","5,45"
1.500,"0,68","1,04","1,44","1,82","2,28","2,76","3,02","3,66","4,36","5,02","5,35","5,73"
1.700,"0,72","1,12","1,56","1,99","2,50","3,03","3,31","4,02","4,77","5,49","5,84","6,24"
1.800,"0,74","1,16","1,62","2,07","2,60","3,16","3,45","4,19","4,97","5,71","6,07","6,48"
2.500,"0,83","1,38","1,98","2,56","3,23","3,93","4,29","5,18","6,09","6,91","7,28","7,70"
2.900,"0,85","1,47","2,13","2,77","3,51","4,26","4,65","5,58","6,51","7,30","7,65","8,01*"
3.000,"0,85","1,48","2,16","2,82","3,57","4,33","4,73","5,67","6,59","7,36","7,69*","8,04*"
3.500,"0,84","1,54","2,29","3,01","3,81","4,62","5,02","5,95","6,80","7,43*",,
3.600,"0,83","1,55","2,31","3,03","3,85","4,65","5,06","5,98","6,80*",,,
4.000,"0,79","1,55","2,36","3,11","3,95","4,76","5,15","6,01*",,,,
5.000,"0,58","1,43","2,30","3,07","3,87","4,57*","4,86*",,,,,
6.000,"0,20","1,09","1,94","2,64*",,,,,,,,
