XPZ SECTION,
CODE,"EXTERNAL
LENGTH
LE (mm)"
XPZ1037,1050
XPZ1047,1060
XPZ1050,1163
XPZ1060,1073
XPZ1062,1075
XPZ1077,1090
XPZ1080,1093
XPZ1087,1100
XPZ1112,1125
XPZ1120,1133
XPZ1137,1150
XPZ1162,1175
XPZ1180,1193
XPZ1187,1200
XPZ1202,1215
XPZ1212,1225
XPZ1237,1250
XPZ1250,1263
XPZ1262,1275
XPZ1270,1283
XPZ1280,1293
XPZ1287,1300
XPZ1312,1325
XPZ1320,1333
XPZ1327,1340
XPZ1337,1350
XPZ1362,1375
XPZ1387,1400
XPZ1400,1413
XPZ1412,1425
XPZ1420,1433
XPZ1437,1450
XPZ1462,1475
XPZ1470,1483
XPZ1487,1500
XPZ1500,1513
XPZ1512,1525
XPZ1520,1533
XPZ1537,1550
XPZ1550,1563
