"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
50,"0,00","0,01","0,02","0,04","0,05","0,06","0,07","0,08","0,09","0,09"
100,"0,00","0,02","0,04","0,07","0,10","0,12","0,14","0,16","0,18","0,19"
150,"0,00","0,02","0,06","0,11","0,15","0,18","0,22","0,24","0,27","0,28"
200,"0,00","0,03","0,09","0,15","0,20","0,25","0,29","0,33","0,35","0,38"
300,"0,00","0,05","0,13","0,22","0,31","0,37","0,43","0,49","0,53","0,56"
400,"0,00","0,06","0,17","0,30","0,41","0,49","0,58","0,65","0,71","0,75"
600,"0,00","0,09","0,26","0,45","0,61","0,74","0,87","0,98","1,06","1,13"
700,"0,00","0,11","0,30","0,52","0,71","0,86","1,01","1,14","1,24","1,31"
750,"0,00","0,12","0,32","0,56","0,76","0,92","1,08","1,22","1,33","1,41"
900,"0,00","0,14","0,39","0,67","0,92","1,11","1,30","1,46","1,59","1,69"
1.000,"0,00","0,16","0,43","0,75","1,02","1,23","1,44","1,63","1,77","1,88"
1.400,"0,00","0,22","0,60","1,05","1,42","1,73","2,02","2,28","2,48","2,63"
1.500,"0,00","0,24","0,64","1,12","1,53","1,85","2,17","2,44","2,66","2,81"
1.700,"0,00","0,27","0,73","1,27","1,73","2,10","2,46","2,76","3,01","3,19"
1.800,"0,00","0,28","0,77","1,35","1,83","2,22","2,60","2,93","3,19","3,38"
2.000,"0,00","0,31","0,86","1,49","2,03","2,47","2,89","3,25","3,54","3,75"
2.500,"0,00","0,39","1,07","1,87","2,54","3,08","3,61","4,06","4,43","4,69"
