B SECTION,
CODE,"INTERNAL
LENGTH
LI (mm)"
B 22 1/2,570
B 23,587
B 24,612
B 25,637
B 26,650
B 26 1/2,673
B 27,686
B 28,710
B 28 1/2,725
B 29,737
B 29 1/2,750
B 30,762
B 30 1/2,775
B 31,787
B 31 1/2,800
B 32,812
B 32 1/4,822
B 32 1/2,825
B 33,838
B 33 1/2,850
B 34,867
B 34 1/2,875
B 35,889
B 35 1/2,900
B 35 3/4,907
B 36,917
B 36 1/2,925
B 36 3/4,937
B 37,942
B 37 1/2,950
B 38,965
B 38 1/2,975
B 39,990
B 39 1/2,1000
B 40,1016
B 40 1/2,1030
B 41,1040
B 41 1/2,1050
B 41 3/4,1060
B 42,1067
B 42 1/2,1075
B 43,1090
B 43 1/2,1100
B 43 1/4,1096
B 44,1120
B 44 1/4,1127
B 45,1142
B 45 1/2,1155
B 46,1175
B 46 1/2,1180
B 46 3/4,1187
B 47,1200
B 47 1/4,1202
B 47 1/2,1215
B 48,1225
B 48 1/2,1232
B 49,1250
B 50,1275
B 51,1300
B 52,1320
B 52 1/2,1335
B 53,1350
B 53 1/2,1360
B 54,1372
B 55,1400
B 55 1/2,1412
B 56,1422
B 57,1450
B 58,1473
B 59,1500
B 60,1525
B 61,1550
B 62,1575
B 63,1600
B 64,1625
