"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,140,150,160,170,180,200,225,250,280,315,355,400
100,"0,73","0,84","0,95","1,06","1,17","1,38","1,65","1,92","2,24","2,61","3,03","3,50"
200,"1,34","1,55","1,76","1,97","2,18","2,60","3,12","3,63","4,25","4,96","5,76","6,66"
500,"2,96","3,46","3,96","4,45","4,95","5,93","7,15","8,35","9,78","11,43","13,29","15,35"
700,"3,93","4,61","5,29","5,97","6,64","7,98","9,63","11,25","13,18","15,38","17,85","20,56"
900,"4,84","5,70","6,55","7,40","8,24","9,91","11,96","13,98","16,35","19,05","22,04","25,28"
1.000,"5,27","6,22","7,15","8,08","9,01","10,84","13,08","15,28","17,85","20,77","23,98","27,42"
1.400,"6,86","8,13","9,38","10,62","11,84","14,25","17,16","19,98","23,22","26,78","30,55","34,37"
1.500,"7,23","8,57","9,89","11,20","12,49","15,02","18,08","21,02","24,38","28,04","31,86","35,64*"
1.700,"7,91","9,40","10,86","12,30","13,72","16,48","19,79","22,94","26,47","30,23","34,01*",
1.800,"8,24","9,79","11,31","12,82","14,29","17,16","20,58","23,80","27,39","31,16","34,85*",
2.000,"8,83","10,51","12,16","13,77","15,35","18,40","22,00","25,33","28,96","32,62*",,
2.500,"10,06","12,00","13,89","15,72","17,49","20,82","24,59","27,87*",,,,
2.900,"10,73","12,83","14,84","16,76","18,59","21,95*","25,54*",,,,,
3.000,"10,85","12,98","15,01","16,95","18,78","22,11*",,,,,,
3.500,"11,16","13,36","15,43","17,34*","19,09*",,,,,,,
3.600,"11,16","13,36","15,42","17,31*","19,02*",,,,,,,
4.000,"10,92","13,09*","15,05*",,,,,,,,,
4.600,"9,82*",,,,,,,,,,,
