"P (kW) referred to i
d",,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,26","1,27/1,57","OVER 1,57"
100,"0,00","0,01","0,03","0,05","0,06"
200,"0,00","0,01","0,07","0,10","0,12"
300,"0,00","0,02","0,10","0,15","0,18"
400,"0,00","0,02","0,14","0,20","0,24"
500,"0,00","0,03","0,17","0,24","0,30"
600,"0,00","0,03","0,20","0,29","0,36"
700,"0,00","0,04","0,24","0,34","0,41"
900,"0,00","0,05","0,31","0,44","0,53"
1.000,"0,00","0,05","0,34","0,49","0,59"
1.400,"0,00","0,07","0,48","0,68","0,83"
1.500,"0,00","0,08","0,51","0,73","0,89"
1.700,"0,00","0,09","0,58","0,83","1,01"
1.800,"0,00","0,10","0,61","0,88","1,07"
2.000,"0,00","0,11","0,68","0,98","1,18"
2.500,"0,00","0,13","0,85","1,22","1,48"
2.900,"0,00","0,15","0,99","1,42","1,72"
3.000,"0,00","0,16","1,02","1,47","1,78"
3.500,"0,00","0,19","1,19","1,71","2,07"
