B SECTION,
CODE,"INTERNAL
LENGTH
LI (mm)"
B 136,3450
B 138,3505
B 140,3550
B 142,3607
B 144,3658
B 146,3708
B 147,3737
B 148,3750
B 150,3810
B 151,3850
B 152,3861
B 154,3912
B 155,3950
B 156,3962
B 157,3987
B 158,4000
B 160,4064
B 161,4087
B 162,4115
B 163,4142
B 165,4200
B 167,4250
B 168,4267
B 173,4394
B 175,4450
B 177,4500
B 180,4572
B 186,4727
B 187,4750
B 188,4777
B 192,4877
B 195,4953
B 197,5000
B 204,5182
B 208,5300
B 210,5334
B 217,5507
B 220,5552
B 221,5577
B 223,5632
B 224,5657
B 225,5682
B 228,5757
B 229,5782
B 236,5994
B 237,6000
B 240,6062
B 248,6267
B 249,6287
B 253,6392
B 255,6442
B 256,6502
B 259,6542
B 264,6665
B 265,6700
B 269,6800
B 270,6825
B 276,7000
B 280,7100
B 285,7207
B 300,7587
B 315,7967
B 330,8347
B 345,8727
B 360,9107
B 361,9132
B 364,9207
B 366,9262
B 394,9972
B 433,10957
B 472,11957
B 512,13005
B 551,13995
B 553,14053
B 669,16992
