"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,03","1,04/1,06","1,07/1,08","1,09/1,12","1,13/1,16","1,17/1,22","1,23/1,32","1,33/1,50","OVER 1,51"
50,"0,00","0,00","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,04"
100,"0,00","0,01","0,02","0,03","0,04","0,05","0,05","0,06","0,07","0,07"
200,"0,00","0,02","0,04","0,05","0,07","0,09","0,10","0,12","0,14","0,15"
400,"0,00","0,04","0,07","0,10","0,14","0,17","0,21","0,23","0,27","0,31"
600,"0,00","0,05","0,10","0,15","0,21","0,26","0,31","0,36","0,41","0,46"
700,"0,00","0,06","0,12","0,18","0,24","0,30","0,36","0,41","0,48","0,53"
800,"0,00","0,07","0,14","0,21","0,27","0,34","0,41","0,48","0,54","0,61"
900,"0,00","0,08","0,15","0,23","0,31","0,39","0,46","0,54","0,61","0,68"
1000,"0,00","0,08","0,17","0,26","0,34","0,43","0,51","0,59","0,68","0,77"
1200,"0,00","0,10","0,21","0,31","0,41","0,52","0,61","0,72","0,82","0,92"
1400,"0,00","0,12","0,24","0,36","0,48","0,60","0,71","0,84","0,95","1,07"
1600,"0,00","0,14","0,27","0,41","0,55","0,68","0,81","0,95","1,08","1,22"
1800,"0,00","0,15","0,31","0,47","0,61","0,77","0,92","1,07","1,22","1,38"
2000,"0,00","0,17","0,34","0,51","0,68","0,86","1,02","1,19","1,36","1,53"
2300,"0,00","0,20","0,39","0,59","0,79","0,98","1,17","1,37","1,56","1,76"
2600,"0,00","0,22","0,44","0,67","0,89","1,11","1,32","1,55","1,77","1,99"
2900,"0,00","0,24","0,50","0,75","0,99","1,24","1,48","1,73","1,97","2,21"
3000,"0,00","0,25","0,51","0,77","1,03","1,29","1,53","1,79","2,04","2,30"
