"P (kW) referred to i
d",,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,26","1,27/1,57","OVER 1,57"
100,"0,00","0,00","0,02","0,03","0,04"
200,"0,00","0,01","0,05","0,07","0,08"
500,"0,00","0,02","0,12","0,17","0,20"
700,"0,00","0,03","0,16","0,24","0,29"
900,"0,00","0,03","0,21","0,30","0,37"
1.000,"0,00","0,04","0,23","0,34","0,41"
1.400,"0,00","0,05","0,33","0,47","0,57"
1.500,"0,00","0,06","0,35","0,51","0,61"
1.700,"0,00","0,06","0,40","0,57","0,69"
1.800,"0,00","0,07","0,42","0,61","0,73"
2.500,"0,00","0,09","0,59","0,84","1,02"
2.900,"0,00","0,11","0,68","0,98","1,18"
3.000,"0,00","0,11","0,70","1,01","1,22"
3.500,"0,00","0,13","0,82","1,18","1,43"
3.600,"0,00","0,13","0,85","1,21","1,47"
4.000,"0,00","0,15","0,94","1,35","1,63"
4.500,"0,00","0,17","1,06","1,52","1,84"
5.000,"0,00","0,18","1,17","1,69","2,04"
