"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00 / 1,01","1,02 / 1,03","1,04 / 1,06","1,07 / 1,08","1,09 / 1,12","1,13 / 1,16","1,17 / 1,22","1,23 / 1,32","1,33 / 1,50","OVER 1,51"
100,"0,00","0,00","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,04"
200,"0,00","0,01","0,02","0,03","0,04","0,04","0,05","0,06","0,07","0,08"
300,"0,00","0,01","0,03","0,04","0,05","0,07","0,08","0,09","0,11","0,12"
400,"0,00","0,02","0,04","0,05","0,07","0,09","0,11","0,12","0,14","0,16"
500,"0,00","0,02","0,04","0,07","0,09","0,11","0,13","0,16","0,18","0,20"
600,"0,00","0,03","0,05","0,08","0,11","0,13","0,16","0,19","0,21","0,24"
700,"0,00","0,03","0,06","0,09","0,12","0,15","0,19","0,22","0,25","0,28"
800,"0,00","0,04","0,07","0,11","0,14","0,18","0,21","0,25","0,28","0,32"
900,"0,00","0,04","0,08","0,12","0,16","0,20","0,24","0,28","0,32","0,36"
1000,"0,00","0,04","0,09","0,13","0,18","0,22","0,27","0,31","0,35","0,40"
1200,"0,00","0,05","0,11","0,16","0,21","0,26","0,32","0,37","0,42","0,48"
1400,"0,00","0,06","0,12","0,19","0,25","0,31","0,37","0,43","0,49","0,56"
1600,"0,00","0,07","0,14","0,21","0,28","0,35","0,43","0,50","0,56","0,63"
1800,"0,00","0,08","0,16","0,24","0,32","0,40","0,48","0,56","0,64","0,71"
2000,"0,00","0,09","0,18","0,27","0,35","0,44","0,53","0,62","0,71","0,79"
2400,"0,00","0,11","0,21","0,32","0,42","0,53","0,64","0,74","0,85","0,95"
2800,"0,00","0,12","0,25","0,37","0,49","0,62","0,74","0,87","0,99","1,11"
3200,"0,00","0,14","0,28","0,42","0,56","0,70","0,85","0,99","1,13","1,27"
3500,"0,00","0,15","0,31","0,46","0,62","0,77","0,93","1,09","1,24","1,39"
4000,"0,00","0,18","0,35","0,53","0,70","0,88","1,06","1,24","1,41","1,59"
4600,"0,00","0,20","0,41","0,61","0,81","1,01","1,22","1,43","1,62","1,82"
