"P (kW) referred to i
d",,,,,,,,,,
RPM,"1,00/1,01","1,02/1,03","1,04/1,06","1,07/1,08","1,09/1,12","1,13/1,16","1,17/1,22","1,23/1,32","1,33/1,50","OVER 1,51"
100,"0,00","0,00","0,01","0,01","0,01","0,02","0,02","0,03","0,03","0,03"
200,"0,00","0,01","0,01","0,02","0,03","0,04","0,04","0,05","0,06","0,06"
500,"0,00","0,02","0,04","0,05","0,07","0,09","0,11","0,13","0,14","0,16"
700,"0,00","0,02","0,05","0,08","0,10","0,13","0,15","0,18","0,20","0,23"
900,"0,00","0,03","0,06","0,10","0,13","0,16","0,19","0,23","0,26","0,29"
1.000,"0,00","0,04","0,07","0,11","0,14","0,18","0,22","0,25","0,29","0,32"
1.400,"0,00","0,05","0,10","0,15","0,20","0,25","0,30","0,35","0,40","0,45"
1.500,"0,00","0,05","0,11","0,16","0,21","0,27","0,32","0,38","0,43","0,48"
1.700,"0,00","0,06","0,12","0,18","0,24","0,30","0,37","0,43","0,49","0,55"
1.800,"0,00","0,06","0,13","0,19","0,26","0,32","0,39","0,45","0,52","0,58"
2.500,"0,00","0,09","0,18","0,27","0,36","0,45","0,54","0,63","0,72","0,81"
2.900,"0,00","0,10","0,21","0,31","0,42","0,52","0,63","0,73","0,83","0,94"
3.000,"0,00","0,11","0,22","0,32","0,43","0,54","0,65","0,76","0,86","0,97"
3.500,"0,00","0,12","0,25","0,38","0,50","0,63","0,76","0,88","1,00","1,13"
3.600,"0,00","0,13","0,26","0,39","0,52","0,64","0,78","0,91","1,03","1,16"
4.000,"0,00","0,14","0,29","0,43","0,57","0,72","0,87","1,01","1,15","1,29"
4.500,"0,00","0,16","0,32","0,49","0,64","0,81","0,97","1,13","1,29","1,45"
5.000,"0,00","0,18","0,36","0,54","0,72","0,89","1,08","1,26","1,44","1,61"
