SPA SECTION,
CODE,"EXTERNAL
LENGTH
LE (mm)"
SPA 1425,1443
SPA 1432,1450
SPA 1450,1468
SPA 1457,1475
SPA 1482,1500
SPA 1500,1518
SPA 1507,1525
SPA 1532,1550
SPA 1550,1568
SPA 1557,1575
SPA 1582,1600
SPA 1600,1618
SPA 1607,1625
SPA 1632,1650
SPA 1657,1675
SPA 1682,1700
SPA 1700,1718
SPA 1707,1725
SPA 1732,1750
SPA 1750,1768
SPA 1757,1775
SPA 1782,1800
SPA 1800,1818
SPA 1807,1825
SPA 1832,1850
SPA 1857,1875
SPA 1882,1900
SPA 1900,1918
SPA 1907,1925
SPA 1925,1943
SPA 1932,1950
SPA 1950,1968
SPA 1957,1975
SPA 1982,2000
SPA 2000,2018
SPA 2032,2050
SPA 2057,2075
SPA 2082,2100
SPA 2120,2138
SPA 2132,2150
SPA 2182,2200
SPA 2207,2225
SPA 2232,2250
