"P (kW) referred to i
d",,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,26","1,27/1,57","OVER 1,57"
100,"0,00","0,00","0,01","0,02","0,02"
200,"0,00","0,00","0,02","0,03","0,04"
500,"0,00","0,01","0,05","0,08","0,09"
700,"0,00","0,01","0,08","0,11","0,13"
900,"0,00","0,02","0,10","0,14","0,17"
1.000,"0,00","0,02","0,11","0,16","0,19"
1.400,"0,00","0,02","0,15","0,22","0,26"
1.500,"0,00","0,03","0,16","0,23","0,28"
1.700,"0,00","0,03","0,18","0,26","0,32"
1.800,"0,00","0,03","0,20","0,28","0,34"
2.500,"0,00","0,04","0,27","0,39","0,47"
2.900,"0,00","0,05","0,31","0,45","0,55"
3.000,"0,00","0,05","0,33","0,47","0,57"
3.500,"0,00","0,06","0,38","0,54","0,66"
3.600,"0,00","0,06","0,39","0,56","0,68"
4.000,"0,00","0,07","0,43","0,62","0,75"
4.500,"0,00","0,08","0,49","0,70","0,85"
5.000,"0,00","0,08","0,54","0,78","0,94"
