"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,63,67,71,80,90,100,112,125,140,160,180,200
100,"0,16","0,18","0,20","0,24","0,28","0,32","0,37","0,43","0,49","0,57","0,64","0,72"
200,"0,28","0,31","0,34","0,41","0,49","0,57","0,66","0,76","0,87","1,01","1,15","1,29"
500,"0,53","0,61","0,68","0,83","1,00","1,17","1,37","1,58","1,82","2,13","2,43","2,73"
700,"0,67","0,76","0,86","1,06","1,29","1,51","1,77","2,05","2,36","2,77","3,17","3,55"
900,"0,78","0,90","1,01","1,27","1,55","1,82","2,14","2,48","2,86","3,36","3,84","4,31"
1.000,"0,83","0,96","1,08","1,36","1,67","1,96","2,31","2,68","3,10","3,64","4,16","4,67"
1.400,"1,00","1,17","1,33","1,70","2,09","2,48","2,94","3,42","3,96","4,65","5,32","5,97"
1.500,"1,03","1,21","1,39","1,77","2,19","2,60","3,08","3,59","4,15","4,88","5,59","6,27"
1.700,"1,10","1,29","1,49","1,91","2,38","2,83","3,35","3,91","4,53","5,33","6,09","6,83"
1.800,"1,13","1,33","1,53","1,98","2,46","2,93","3,48","4,06","4,71","5,54","6,33","7,09"
2.500,"1,27","1,54","1,80","2,37","2,99","3,59","4,29","5,01","5,81","6,82","7,77","8,66"
2.900,"1,32","1,62","1,91","2,55","3,24","3,90","4,66","5,46","6,33","7,42","8,42","9,33*"
3.000,"1,33","1,63","1,93","2,59","3,29","3,97","4,75","5,56","6,45","7,55","8,56","9,47*"
3.500,"1,35","1,69","2,02","2,75","3,53","4,28","5,14","6,01","6,96","8,11","9,13*",
3.600,"1,35","1,70","2,04","2,78","3,58","4,34","5,20","6,09","7,04","8,20*","9,22*",
4.000,"1,34","1,71","2,08","2,88","3,72","4,53","5,44","6,36","7,34","8,50*",,
4.500,"1,30","1,71","2,10","2,96","3,86","4,71","5,66","6,61","7,60*",,,
5.000,"1,24","1,67","2,09","3,00","3,94","4,83","5,81","6,76*",,,,
