A SECTION,
CODE,"INTERNAL
LENGTH
LI (mm)"
A 84,2134
A 84 1/2,2146
A 85,2160
A 86,2187
A 86 1/2,2200
A 87,2212
A 88,2240
A 89,2267
A 90,2286
A 91,2311
A 92,2337
A 93,2360
A 94,2388
A 95,2413
A 96,2438
A 97,2464
A 97 1/2,2475
A 98,2500
A 100,2540
A 102,2591
A 104,2650
A 105,2667
A 107,2725
A 108,2743
A 110,2800
A 112,2845
A 113,2870
A 114,2896
A 116,2946
A 118,3000
A 120,3048
A 124,3150
A 128,3250
A 130,3302
A 132,3350
A 134,3404
A 136,3454
A 140,3550
A 144,3658
A 147,3737
A 148,3750
A 155,3937
A 158,4000
A 162,4115
A 167,4250
A 173,4394
A 177,4500
A 180,4572
A 187,4750
A 197,5000
A 210,5334
A 217,5477
