"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,
RPM / Ø,140,160,180,200,224,236,250,280,315,355
50,"0,34","0,41","0,49","0,56","0,64","0,68","0,73","0,84","0,96","1,09"
100,"0,60","0,73","0,88","1,01","1,16","1,24","1,34","1,52","1,74","1,99"
200,"1,05","1,31","1,55","1,79","2,08","2,22","2,39","2,73","3,13","3,58"
400,"1,79","2,24","2,69","3,13","3,64","3,90","4,19","4,81","5,52","6,30"
600,"2,40","3,04","3,66","4,27","4,99","5,34","5,74","6,60","7,56","8,61"
700,"2,67","3,40","4,10","4,79","5,60","5,99","6,45","7,40","8,47","9,63"
800,"2,92","3,72","4,51","5,27","6,16","6,60","7,10","8,14","9,29","10,55"
900,"3,15","4,04","4,90","5,73","6,70","7,17","7,71","8,82","10,06","11,38"
1000,"3,38","4,34","5,25","6,15","7,19","7,70","8,27","9,46","10,75","12,11"
1200,"3,76","4,86","5,91","6,92","8,08","8,63","9,26","10,54","11,89","13,27"
1400,"4,09","5,30","6,47","7,56","8,81","9,39","10,06","11,37","12,71","13,97"
1600,"4,36","5,68","6,93","8,09","9,38","10,00","10,66","11,94","13,17","14,20"
1800,"4,57","6,04","7,28","8,50","9,80","10,40","11,05","12,23","13,24","13,89"
2000,"4,73","6,20","7,55","8,77","10,05","10,62","11,20","12,21","12,89","12,99"
2300,"4,86","6,39","7,74","8,93","10,08","10,54","10,99","11,55",,
2600,"4,85","6,39","7,69","8,74","9,65","9,95",,,,
2900,"4,68","6,18","7,36","8,20","8,74",,,,,
3000,"4,60","6,07","7,19","7,95","8,31",,,,,
