XPZ SECTION,
CODE,"EXTERNAL
LENGTH
LE (mm)"
XPZ1587,1600
XPZ1600,1613
XPZ1612,1625
XPZ1637,1650
XPZ1650,1663
XPZ1662,1675
XPZ1700,1713
XPZ1737,1726
XPZ1750,1763
XPZ1762,1775
XPZ1800,1813
XPZ1812,1825
XPZ1850,1863
XPZ1862,1875
XPZ1887,1900
XPZ1900,1913
XPZ1937,1950
XPZ1950,1963
XPZ2000,2013
XPZ2030,2043
XPZ2037,2050
XPZ2120,2133
XPZ2160,2173
XPZ2240,2253
XPZ2280,2293
XPZ2360,2373
XPZ2410,2423
XPZ2500,2513
XPZ2540,2553
XPZ2650,2663
XPZ2690,2703
XPZ2800,2813
XPZ2840,2853
XPZ3000,3013
XPZ3150,3163
XPZ3170,3183
XPZ3350,3363
XPZ3550,3563
