"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,80,85,90,95,100,106,112,125,140,160,180,200
100,"0,25","0,28","0,31","0,34","0,37","0,41","0,45","0,53","0,63","0,75","0,87","1,00"
200,"0,45","0,51","0,58","0,64","0,70","0,77","0,85","1,00","1,18","1,42","1,66","1,90"
500,"1,00","1,15","1,29","1,44","1,58","1,76","1,93","2,30","2,73","3,29","3,85","4,40"
700,"1,33","1,53","1,73","1,93","2,13","2,37","2,60","3,11","3,69","4,46","5,23","5,98"
900,"1,65","1,90","2,15","2,40","2,65","2,95","3,25","3,89","4,63","5,60","6,55","7,50"
1.000,"1,80","2,08","2,35","2,63","2,91","3,24","3,57","4,28","5,08","6,15","7,20","8,24"
1.400,"2,37","2,76","3,13","3,51","3,89","4,34","4,79","5,75","6,84","8,28","9,70","11,09"
1.500,"2,51","2,92","3,32","3,72","4,13","4,60","5,08","6,10","7,27","8,80","10,30","11,78"
1.700,"2,78","3,23","3,69","4,14","4,59","5,12","5,66","6,80","8,10","9,80","11,47","13,11"
1.800,"2,91","3,39","3,87","4,34","4,82","5,38","5,94","7,14","8,51","10,29","12,04","13,75"
2.500,"3,77","4,41","5,05","5,69","6,32","7,07","7,81","9,40","11,19","13,51","15,74","17,89"
2.900,"4,21","4,95","5,67","6,39","7,11","7,96","8,80","10,58","12,59","15,16","17,61","19,93*"
3.000,"4,32","5,07","5,82","6,56","7,30","8,17","9,03","10,87","12,92","15,55","18,04","20,40*"
3.500,"4,82","5,68","6,53","7,37","8,20","9,19","10,16","12,21","14,48","17,35","20,02*",
3.600,"4,92","5,80","6,67","7,53","8,38","9,38","10,37","12,46","14,77","17,68*","20,37*",
4.000,"5,28","6,24","7,18","8,11","9,03","10,11","11,18","13,41","15,86","18,89*",,
4.500,"5,69","6,73","7,76","8,78","9,77","10,94","12,09","14,46","17,03*",,,
5.000,"6,04","7,17","8,28","9,36","10,42","11,67","12,87","15,36*",,,,
