"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,90,100,106,112,118,132,150,170,190,212,236,250
100,"0,26","0,33","0,37","0,41","0,46","0,55","0,68","0,82","0,95","1,10","1,27","1,36"
200,"0,47","0,61","0,69","0,77","0,85","1,04","1,28","1,55","1,81","2,10","2,41","2,59"
500,"1,02","1,34","1,54","1,73","1,92","2,37","2,94","3,56","4,18","4,86","5,59","6,02"
700,"1,34","1,79","2,05","2,32","2,58","3,19","3,97","4,82","5,66","6,58","7,57","8,14"
900,"1,65","2,21","2,54","2,88","3,21","3,98","4,95","6,02","7,08","8,22","9,45","10,16"
1.000,"1,79","2,41","2,78","3,15","3,51","4,36","5,43","6,60","7,76","9,01","10,36","11,13"
1.400,"2,33","3,17","3,67","4,17","4,66","5,80","7,24","8,80","10,33","11,96","13,69","14,67"
1.500,"2,45","3,35","3,88","4,41","4,93","6,14","7,66","9,32","10,93","12,65","14,45","15,47"
1.700,"2,69","3,69","4,28","4,87","5,45","6,80","8,48","10,31","12,07","13,93","15,87","16,96"
1.800,"2,81","3,86","4,48","5,10","5,71","7,11","8,88","10,78","12,61","14,54","16,53","17,64"
2.500,"3,50","4,88","5,70","6,50","7,29","9,09","11,31","13,63","15,78","17,95","20,04*","21,12*"
2.900,"3,82","5,36","6,27","7,16","8,04","10,02","12,41","14,85","17,05","19,15*",,
3.000,"3,88","5,47","6,40","7,31","8,21","10,22","12,65","15,11","17,30","19,36*",,
3.500,"4,17","5,93","6,95","7,95","8,92","11,08","13,60","16,04*","18,06*",,,
3.600,"4,21","6,00","7,05","8,06","9,04","11,21","13,74","16,15*",,,,
4.000,"4,34","6,24","7,34","8,40","9,42","11,63","14,12*",,,,,
4.600,"4,39","6,41","7,56","8,65","9,68","11,84*",,,,,,
5.000,"4,32","6,39","7,54","8,62","9,63*","11,69*",,,,,,
