"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,56,60,63,67,71,80,90,100,112,125,132,140
100,"0,10","0,12","0,13","0,14","0,16","0,19","0,23","0,27","0,32","0,37","0,39","0,43"
200,"0,19","0,22","0,24","0,27","0,30","0,37","0,44","0,52","0,61","0,70","0,75","0,81"
500,"0,41","0,48","0,54","0,61","0,68","0,84","1,02","1,20","1,41","1,64","1,76","1,90"
700,"0,55","0,65","0,72","0,82","0,92","1,14","1,39","1,63","1,92","2,23","2,40","2,58"
900,"0,68","0,81","0,90","1,03","1,15","1,43","1,74","2,05","2,41","2,80","3,01","3,25"
1.000,"0,74","0,88","0,99","1,13","1,26","1,57","1,91","2,25","2,65","3,09","3,32","3,58"
1.400,"0,99","1,18","1,32","1,51","1,70","2,12","2,59","3,05","3,59","4,18","4,49","4,85"
1.500,"1,04","1,25","1,40","1,60","1,80","2,25","2,75","3,24","3,82","4,45","4,78","5,16"
1.700,"1,16","1,39","1,56","1,78","2,01","2,52","3,07","3,62","4,27","4,97","5,34","5,76"
1.800,"1,21","1,45","1,64","1,87","2,11","2,64","3,23","3,81","4,49","5,22","5,61","6,05"
2.500,"1,58","1,91","2,15","2,47","2,79","3,51","4,29","5,06","5,97","6,93","7,43","8,00"
2.900,"1,78","2,15","2,43","2,80","3,16","3,97","4,86","5,73","6,75","7,82","8,39","9,02"
3.000,"1,82","2,21","2,49","2,87","3,25","4,09","5,00","5,89","6,94","8,04","8,62","9,26"
3.500,"2,05","2,49","2,82","3,25","3,68","4,63","5,67","6,67","7,84","9,06","9,69","10,39"
3.600,"2,09","2,55","2,88","3,32","3,76","4,74","5,79","6,82","8,01","9,25","9,89","10,60"
4.000,"2,26","2,76","3,12","3,61","4,09","5,15","6,29","7,39","8,67","9,97","10,65",
4.500,"2,46","3,00","3,41","3,94","4,46","5,62","6,86","8,05","9,41","10,78","11,47*",
5.000,"2,64","3,23","3,67","4,25","4,81","6,06","7,39","8,64","10,06","11,46*","12,15*",
