"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00 / 1,01","1,02 / 1,03","1,04 / 1,06","1,07 / 1,08","1,09 / 1,12","1,13 / 1,16","1,17 / 1,22","1,23 / 1,32","1,33 / 1,50","OVER 1,51"
100,"0,00","0,01","0,02","0,03","0,04","0,05","0,06","0,07","0,08","0,09"
200,"0,00","0,02","0,04","0,06","0,08","0,10","0,11","0,13","0,15","0,17"
300,"0,00","0,03","0,06","0,09","0,11","0,14","0,17","0,20","0,23","0,26"
400,"0,00","0,04","0,08","0,11","0,15","0,19","0,23","0,27","0,31","0,34"
500,"0,00","0,05","0,10","0,14","0,19","0,24","0,29","0,34","0,38","0,43"
600,"0,00","0,06","0,11","0,17","0,23","0,29","0,34","0,40","0,46","0,51"
700,"0,00","0,07","0,13","0,20","0,27","0,33","0,40","0,47","0,53","0,60"
800,"0,00","0,08","0,15","0,23","0,30","0,38","0,46","0,54","0,61","0,69"
900,"0,00","0,09","0,17","0,26","0,34","0,43","0,52","0,60","0,69","0,77"
1000,"0,00","0,09","0,19","0,29","0,38","0,48","0,57","0,67","0,76","0,86"
1200,"0,00","0,11","0,23","0,34","0,46","0,57","0,69","0,80","0,92","1,03"
1400,"0,00","0,13","0,27","0,40","0,53","0,67","0,80","0,94","1,07","1,20"
1600,"0,00","0,15","0,30","0,46","0,61","0,76","0,92","1,07","1,22","1,37"
1800,"0,00","0,17","0,34","0,52","0,68","0,86","1,03","1,21","1,37","1,54"
2000,"0,00","0,19","0,38","0,57","0,76","0,95","1,15","1,34","1,53","1,71"
2400,"0,00","0,23","0,46","0,69","0,91","1,14","1,38","1,61","1,83","2,06"
2800,"0,00","0,27","0,53","0,80","1,07","1,33","1,61","1,88","2,14","2,40"
