"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,03","1,04/1,06","1,07/1,08","1,09/1,12","1,13/1,16","1,17/1,22","1,23/1,32","1,33/1,50","OVER 1,51"
100,"0,00","0,01","0,02","0,02","0,03","0,04","0,05","0,05","0,06","0,07"
150,"0,00","0,01","0,02","0,03","0,05","0,06","0,07","0,08","0,09","0,10"
200,"0,00","0,02","0,03","0,05","0,06","0,08","0,09","0,11","0,12","0,14"
400,"0,00","0,03","0,06","0,09","0,12","0,15","0,19","0,22","0,25","0,28"
600,"0,00","0,05","0,09","0,14","0,19","0,23","0,28","0,33","0,37","0,42"
700,"0,00","0,05","0,11","0,16","0,22","0,27","0,33","0,38","0,43","0,49"
750,"0,00","0,06","0,12","0,17","0,23","0,29","0,35","0,41","0,46","0,52"
900,"0,00","0,07","0,14","0,21","0,28","0,35","0,42","0,49","0,56","0,63"
1.000,"0,00","0,08","0,15","0,23","0,31","0,39","0,47","0,54","0,62","0,69"
1.400,"0,00","0,11","0,22","0,33","0,43","0,54","0,65","0,76","0,87","0,97"
1.500,"0,00","0,12","0,23","0,35","0,46","0,58","0,70","0,82","0,93","1,04"
1.700,"0,00","0,13","0,26","0,39","0,52","0,66","0,79","0,92","1,05","1,18"
1.800,"0,00","0,14","0,28","0,42","0,56","0,69","0,84","0,98","1,11","1,25"
2.000,"0,00","0,15","0,31","0,46","0,62","0,77","0,93","1,09","1,24","1,39"
2.500,"0,00","0,19","0,39","0,58","0,77","0,96","1,16","1,36","1,55","1,74"
2.900,"0,00","0,22","0,45","0,67","0,89","1,12","1,35","1,58","1,79","2,02"
3.000,"0,00","0,23","0,46","0,70","0,93","1,16","1,40","1,63","1,86","2,08"
3.200,"0,00","0,25","0,49","0,74","0,99","1,23","1,49","1,74","1,98","2,22"
