"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,315,335,355,375,400,425,475,530,600,670,750,800
50,"2,36","2,62","2,89","3,15","3,48","3,8","4,45","5,16","6,06","6,95","7,96","8,58"
100,"4,35","4,86","5,36","5,87","6,49","7,12","8,36","9,71","11,42","13,11","15,03","16,22"
150,"6,21","6,95","7,68","8,42","9,33","10,24","12,04","14,01","16,49","18,95","21,73","23,45"
200,"7,97","8,93","9,89","10,85","12,04","13,22","15,58","18,14","21,36","24,55","28,15","30,37"
300,"11,28","12,68","14,07","15,46","17,18","18,89","22,29","25,97","30,59","35,13","40,23","43,36"
400,"14,37","16,19","17,99","19,79","22,01","24,22","28,58","33,3","39,18","44,93","51,32","55,21"
500,"17,28","19,49","21,68","23,86","26,56","29,23","34,48","40,14","47,14","53,9","61,33","65,79"
600,"20,01","22,59","25,15","27,69","30,82","33,92","39,99","46,47","54,4","61,97","70,13","74,95"
750,"23,77","26,88","29,94","32,97","36,69","40,34","47,44","54,9","63,86","72,15","80,74","85,59*"
900,"27,15","30,71","34,21","37,65","41,86","45,96","53,83","61,94","71,36","79,69*",,
1000,"29,17",33,"36,75","40,43","44,89","49,22","57,44","65,76","75,14*",,,
1200,"32,61","36,89","41,03","45,05","49,87","54,47","62,93","71,05*",,,,
1400,"35,2","39,77","44,14","48,31","53,23","57,80*","65,83*",,,,,
1500,"36,15","40,8","45,22","49,39","54,24*","58,68*",,,,,,
1700,"37,29","41,97","46,32*","50,32*",,,,,,,,
1800,"37,45","42,07*","46,31*",,,,,,,,,
1900,"37,34*","41,84*",,,,,,,,,,
2000,"36,93*",,,,,,,,,,,
