C SECTION,
CODE,"INTERNAL
LENGTH
LI (mm)"
C 90,2286
C 92,2337
C 93,2360
C 94,2388
C 95,2413
C 96,2438
C 96 1/2,2450
C 97,2462
C 97 1/2,2477
C 98,2500
C 99,2525
C 100,2540
C 101,2560
C 102,2591
C 104,2642
C 105,2667
C 106,2692
C 108,2750
C 110,2800
C 111,2818
C 112,2845
C 112 1/2,2858
C 114,2888
C 115,2921
C 116,2950
C 117,2965
C 118,3000
C 120,3048
C 122,3099
C 124,3150
C 126,3200
C 128,3250
C 130,3302
C 132,3350
C 134,3404
C 136,3456
C 138,3498
C 140,3550
C 142,3607
C 144,3658
C 147,3733
C 148,3750
C 150,3808
C 153,3902
C 158,4000
C 160,4064
C 161 1/2,4100
C 162,4115
C 165,4193
