A SECTION,
CODE,"INTERNAL
LENGTH
LI (mm)"
A 18,457
A 19,480
A 20,508
A 21,535
A 21 3/4,552
A 22,560
A 23,587
A 23 1/2,600
A 24,610
A 24 1/2,620
A 24 3/4,630
A 25,637
A 25 1/2,647
A 26,660
A 26 1/2,670
A 27,686
A 27 1/2,700
A 28,710
A 28 1/2,724
A 29,737
A 29 1/2,750
A 30,767
A 30 1/2,775
A 31,787
A 31 1/2,800
A 32,813
A 32 1/2,825
A 33,838
A 33 1/4,847
A 33 1/2,850
A 34,867
A 34 1/2,875
A 35,900
A 35 1/2,902
A 36,914
A 36 1/2,925
A 37,942
A 37 1/4,946
A 37 1/2,950
A 38,965
A 38 1/2,975
A 39,992
A 39 1/2,1000
A 40,1016
A 40 1/2,1030
A 41,1041
A 41 1/2,1050
A 41 3/4,1060
A 42,1067
A 42 1/2,1075
A 43,1100
A 43 1/2,1105
