"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,112,118,125,132,140,160,180,200,224,250,265,280
100,"0,57","0,63","0,70","0,77","0,85","1,06","1,26","1,46","1,70","1,95","2,10","2,25"
200,"1,04","1,16","1,30","1,44","1,60","1,99","2,37","2,76","3,22","3,71","3,99","4,27"
500,"2,32","2,60","2,93","3,25","3,63","4,55","5,46","6,37","7,44","8,60","9,27","9,93"
700,"3,10","3,48","3,93","4,38","4,88","6,14","7,39","8,63","10,09","11,67","12,57","13,47"
900,"3,84","4,32","4,89","5,45","6,09","7,68","9,24","10,80","12,64","14,61","15,74","16,85"
1.000,"4,19","4,73","5,35","5,97","6,67","8,42","10,15","11,85","13,88","16,04","17,27","18,49"
1.400,"5,54","6,27","7,12","7,96","8,91","11,28","13,60","15,89","18,59","21,45","23,07","24,66"
1.500,"5,86","6,64","7,54","8,43","9,45","11,96","14,43","16,85","19,70","22,72","24,42","26,10"
1.700,"6,48","7,35","8,36","9,36","10,49","13,29","16,03","18,72","21,86","25,17","27,03","28,85"
1.800,"6,79","7,70","8,76","9,81","11,00","13,93","16,81","19,62","22,90","26,34","28,27","30,16"
2.500,"8,73","9,94","11,34","12,73","14,29","18,11","21,79","25,33","29,37","33,48*","35,72*",
2.900,"9,71","11,08","12,65","14,21","15,95","20,19","24,23","28,06*","32,36*",,,
3.000,"9,94","11,35","12,96","14,55","16,34","20,68","24,79","28,68*",,,,
3.500,"11,00","12,57","14,37","16,14","18,12","22,86","27,28*",,,,,
3.600,"11,19","12,79","14,63","16,43","18,45","23,25*","27,71*",,,,,
4.000,"11,88","13,60","15,57","17,48","19,61","24,63*",,,,,,
4.500,"12,59","14,43","16,52","18,54*","20,77*",,,,,,,
5.000,"13,10","15,04*","17,22*","19,31*",,,,,,,,
