"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00 / 1,01","1,02 / 1,03","1,04 / 1,06","1,07 / 1,08","1,09 / 1,12","1,13 / 1,16","1,17 / 1,22","1,23 / 1,32","1,33 / 1,50","OVER 1,51"
50,"0,00","0,02","0,05","0,07","0,09","0,12","0,14","0,17","0,19","0,21"
100,"0,00","0,05","0,09","0,14","0,19","0,24","0,29","0,33","0,38","0,43"
150,"0,00","0,07","0,14","0,21","0,28","0,35","0,43","0,50","0,57","0,64"
200,"0,00","0,09","0,19","0,28","0,38","0,47","0,57","0,67","0,76","0,85"
250,"0,00","0,12","0,24","0,36","0,47","0,59","0,71","0,83","0,95","1,06"
300,"0,00","0,14","0,28","0,43","0,57","0,71","0,86","1,00","1,14","1,28"
400,"0,00","0,19","0,38","0,57","0,76","0,94","1,14","1,33","1,51","1,70"
500,"0,00","0,24","0,47","0,71","0,94","1,18","1,43","1,66","1,89","2,13"
600,"0,00","0,28","0,57","0,85","1,13","1,42","1,71","2,00","2,27","2,55"
700,"0,00","0,33","0,66","1,00","1,32","1,65","2,00","2,33","2,65","2,98"
750,"0,00","0,35","0,71","1,07","1,42","1,77","2,14","2,50","2,84","3,19"
900,"0,00","0,42","0,85","1,28","1,70","2,12","2,57","2,99","3,41","3,83"
1000,"0,00","0,47","0,95","1,42","1,89","2,36","2,85","3,33","3,79","4,25"
1100,"0,00","0,52","1,04","1,56","2,08","2,60","3,14","3,66","4,17","4,68"
1200,"0,00","0,56","1,14","1,71","2,27","2,83","3,42","3,99","4,54","5,11"
1300,"0,00","0,61","1,23","1,85","2,46","3,07","3,71","4,32","4,92","5,53"
1400,"0,00","0,66","1,32","1,99","2,64","3,30","3,99","4,66","5,30","5,96"
1450,"0,00","0,68","1,37","2,06","2,74","3,42","4,14","4,82","5,49","6,17"
