B SECTION,
CODE,"INTERNAL
LENGTH
LI (mm)"
B 64 1/2,1642
B 65,1650
B 66,1676
B 66 1/4,1682
B 66 1/2,1692
B 67,1700
B 67 1/4,1712
B 68,1725
B 69,1750
B 69 1/2,1761
B 70,1775
B 71,1800
B 72,1829
B 73,1850
B 74,1880
B 75,1900
B 76,1930
B 77,1950
B 78,1981
B 79,2000
B 80,2032
B 80 3/4,2050
B 81,2060
B 82,2083
B 83,2108
B 83 1/2,2120
B 84,2134
B 85,2160
B 86,2187
B 86 1/2,2200
B 87,2215
B 88,2240
B 89,2261
B 90,2286
B 91,2312
B 92,2337
B 93,2360
B 94,2388
B 94 1/2,2400
B 95,2413
B 96,2438
B 96 1/2,2450
B 97,2465
B 97 1/2,2477
B 98,2500
B 99,2515
B 100,2540
B 101,2565
B 102,2600
B 103,2616
B 104,2650
B 105,2667
B 106,2700
B 107,2718
B 108,2750
B 109,2769
B 110,2800
B 112,2845
B 112 1/2,2857
B 114,2900
B 115,2921
B 116,2950
B 118,3000
B 120,3048
B 122,3099
B 124,3150
B 126,3200
B 127,3227
B 128,3250
B 130,3302
B 131,3327
B 132,3350
B 133,3378
B 134,3407
B 135,3429
