"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
100,"0,00","0,01","0,02","0,03","0,05","0,06","0,07","0,08","0,08","0,09"
200,"0,00","0,01","0,04","0,07","0,09","0,11","0,13","0,15","0,16","0,17"
500,"0,00","0,04","0,10","0,17","0,24","0,28","0,33","0,38","0,41","0,43"
700,"0,00","0,05","0,14","0,24","0,33","0,40","0,47","0,53","0,57","0,61"
900,"0,00","0,07","0,18","0,31","0,42","0,51","0,60","0,68","0,74","0,78"
1.000,"0,00","0,07","0,20","0,35","0,47","0,57","0,67","0,75","0,82","0,87"
1.400,"0,00","0,10","0,28","0,48","0,66","0,80","0,93","1,05","1,15","1,21"
1.500,"0,00","0,11","0,30","0,52","0,71","0,85","1,00","1,13","1,23","1,30"
1.700,"0,00","0,12","0,34","0,59","0,80","0,97","1,13","1,28","1,39","1,47"
1.800,"0,00","0,13","0,36","0,62","0,85","1,03","1,20","1,35","1,47","1,56"
2.000,"0,00","0,15","0,40","0,69","0,94","1,14","1,34","1,50","1,64","1,73"
2.500,"0,00","0,18","0,50","0,86","1,18","1,42","1,67","1,88","2,05","2,17"
2.900,"0,00","0,21","0,57","1,00","1,36","1,65","1,94","2,18","2,37","2,51"
3.000,"0,00","0,22","0,59","1,04","1,41","1,71","2,00","2,25","2,46","2,60"
3.500,"0,00","0,25","0,69","1,21","1,65","1,99","2,34","2,63","2,86","3,03"
3.600,"0,00","0,26","0,71","1,24","1,69","2,05","2,40","2,70","2,95","3,12"
4.000,"0,00","0,29","0,79","1,38","1,88","2,28","2,67","3,01","3,27","3,47"
4.600,"0,00","0,33","0,91","1,59","2,16","2,62","3,07","3,46","3,76","3,99"
