"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
100,"0,00","0,01","0,02","0,03","0,05","0,06","0,07","0,07","0,08","0,09"
200,"0,00","0,01","0,04","0,07","0,09","0,11","0,13","0,15","0,16","0,17"
500,"0,00","0,04","0,10","0,17","0,23","0,28","0,33","0,37","0,41","0,43"
700,"0,00","0,05","0,14","0,24","0,33","0,40","0,47","0,52","0,57","0,61"
900,"0,00","0,07","0,18","0,31","0,42","0,51","0,60","0,67","0,73","0,78"
1000,"0,00","0,07","0,20","0,34","0,47","0,57","0,67","0,75","0,82","0,86"
1400,"0,00","0,10","0,28","0,48","0,66","0,80","0,93","1,05","1,14","1,21"
1500,"0,00","0,11","0,30","0,52","0,70","0,85","1,00","1,12","1,22","1,30"
1700,"0,00","0,12","0,34","0,59","0,80","0,97","1,13","1,27","1,39","1,47"
1800,"0,00","0,13","0,36","0,62","0,84","1,02","1,20","1,35","1,47","1,56"
2000,"0,00","0,15","0,40","0,69","0,94","1,14","1,33","1,50","1,63","1,73"
2500,"0,00","0,18","0,49","0,86","1,17","1,42","1,66","1,87","2,04","2,16"
2900,"0,00","0,21","0,57","1,00","1,36","1,65","1,93","2,17","2,37","2,51"
3000,"0,00","0,22","0,59","1,03","1,41","1,71","2,00","2,25","2,45","2,59"
3500,"0,00","0,25","0,69","1,21","1,64","1,99","2,33","2,62","2,86","3,03"
3600,"0,00","0,26","0,71","1,24","1,69","2,05","2,40","2,70","2,94","3,11"
4000,"0,00","0,29","0,79","1,38","1,88","2,27","2,66","3,00","3,27","3,46"
4600,"0,00","0,33","0,91","1,59","2,16","2,62","3,06","3,45","3,76","3,98"
