"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,90,100,106,112,118,132,150,170,190,212,236,250
100,"0,18","0,23","0,26","0,29","0,31","0,38","0,46","0,55","0,64","0,74","0,85","0,91"
200,"0,33","0,42","0,47","0,53","0,58","0,70","0,86","1,04","1,21","1,40","1,61","1,72"
500,"0,70","0,91","1,04","1,17","1,29","1,58","1,95","2,36","2,77","3,21","3,68","3,96"
700,"0,92","1,21","1,38","1,55","1,72","2,12","2,63","3,18","3,73","4,32","4,97","5,34"
900,"1,12","1,48","1,70","1,92","2,13","2,63","3,27","3,96","4,64","5,38","6,18","6,64"
1.000,"1,21","1,62","1,85","2,09","2,33","2,88","3,57","4,34","5,08","5,89","6,76","7,26"
1.400,"1,56","2,11","2,43","2,75","3,07","3,81","4,74","5,75","6,74","7,79","8,91","9,54"
1.500,"1,64","2,22","2,57","2,91","3,25","4,03","5,01","6,08","7,12","8,23","9,40","10,05"
1.700,"1,80","2,44","2,82","3,21","3,58","4,45","5,54","6,72","7,85","9,06","10,31","11,01"
1.800,"1,87","2,55","2,95","3,35","3,74","4,65","5,79","7,02","8,20","9,45","10,74","11,46"
2.500,"2,31","3,20","3,72","4,24","4,75","5,92","7,35","8,85","10,25","11,66","13,03*","13,74*"
2.900,"2,50","3,50","4,09","4,66","5,23","6,51","8,05","9,64","11,08","12,46*",,
3.000,"2,55","3,57","4,17","4,76","5,34","6,64","8,21","9,81","11,24","12,60*",,
3.500,"2,72","3,86","4,52","5,16","5,79","7,19","8,83","10,43*","11,77*",,,
3.600,"2,74","3,90","4,58","5,23","5,87","7,28","8,92","10,51*",,,,
4.000,"2,82","4,05","4,76","5,45","6,11","7,55","9,18*",,,,,
4.600,"2,85","4,16","4,90","5,61","6,28","7,71*",,,,,,
5.000,"2,80","4,14","4,89","5,60","6,27*","7,63*",,,,,,
