BELT CHARACTERISTICS,,,
SECTION,3V,5V,8V
a (mm),9,15,25
s (mm),8,13,23
Pitch length - internal length = ∆i (mm),31,54,103
External length - pitch length = ∆e (mm),20,27,41
Weigth (gr/m),90,210,620
Min. Pulley diam. (Mm),50,170,315
Working temperature,-30°C / +80°C,,
Relevant standards,ARPM/MTPA IP22 - ASAE S 211-4,,
Relevant antistatic standard,ISO 1813,,
Materials,CR blend - polyester cord - cotton/polyester fabric,,
