"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
50,"0,00","0,02","0,05","0,09","0,13","0,16","0,18","0,21","0,22","0,24"
100,"0,00","0,04","0,11","0,19","0,26","0,31","0,37","0,41","0,45","0,47"
150,"0,00","0,06","0,16","0,28","0,39","0,47","0,55","0,62","0,67","0,71"
200,"0,00","0,08","0,22","0,38","0,52","0,62","0,73","0,82","0,90","0,95"
300,"0,00","0,12","0,32","0,57","0,77","0,94","1,10","1,24","1,35","1,42"
400,"0,00","0,16","0,43","0,76","1,03","1,25","1,46","1,65","1,79","1,90"
500,"0,00","0,20","0,54","0,94","1,29","1,56","1,83","2,06","2,24","2,37"
600,"0,00","0,24","0,65","1,13","1,55","1,87","2,19","2,47","2,69","2,85"
750,"0,00","0,30","0,81","1,42","1,93","2,34","2,74","3,09","3,36","3,56"
900,"0,00","0,36","0,97","1,70","2,32","2,81","3,29","3,71","4,04","4,27"
1000,"0,00","0,40","1,08","1,89","2,58","3,12","3,66","4,12","4,49","4,75"
1200,"0,00","0,48","1,30","2,27","3,09","3,75","4,39","4,94","5,38","5,70"
1400,"0,00","0,56","1,52","2,64","3,61","4,37","5,12","5,77","6,28","6,65"
1500,"0,00","0,60","1,62","2,83","3,87","4,68","5,49","6,18","6,73","7,12"
1700,"0,00","0,68","1,84","3,21","4,38","5,31","6,22","7,00","7,62","8,07"
1800,"0,00","0,72","1,95","3,40","4,64","5,62","6,58","7,41","8,07","8,55"
1900,"0,00","0,76","2,06","3,59","4,90","5,93","6,95","7,83","8,52","9,02"
2000,"0,00","0,79","2,17","3,78","5,15","6,24","7,32","8,24","8,97","9,50"
