"P (kW) referred to i
d",,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,26","1,27/1,57","OVER 1,57"
100,"0,00","0,01","0,04","0,06","0,07"
200,"0,00","0,01","0,08","0,11","0,14"
500,"0,00","0,03","0,20","0,28","0,34"
700,"0,00","0,04","0,27","0,39","0,47"
900,"0,00","0,05","0,35","0,50","0,61"
1.000,"0,00","0,06","0,39","0,56","0,68"
1.400,"0,00","0,09","0,55","0,78","0,95"
1.500,"0,00","0,09","0,59","0,84","1,02"
1.700,"0,00","0,10","0,66","0,95","1,15"
1.800,"0,00","0,11","0,70","1,01","1,22"
2.500,"0,00","0,15","0,98","1,40","1,69"
2.900,"0,00","0,18","1,13","1,62","1,97"
3.000,"0,00","0,18","1,17","1,68","2,03"
3.500,"0,00","0,21","1,37","1,96","2,37"
3.600,"0,00","0,22","1,40","2,02","2,44"
4.000,"0,00","0,24","1,56","2,24","2,71"
4.500,"0,00","0,27","1,76","2,52","3,05"
5.000,"0,00","0,31","1,95","2,80","3,39"
