"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00 / 1,01","1,02 / 1,03","1,04 / 1,06","1,07 / 1,08","1,09 / 1,12","1,13 / 1,16","1,17 / 1,22","1,23 / 1,32","1,33 / 1,50","OVER 1,51"
50,"0,00","0,01","0,03","0,04","0,06","0,07","0,09","0,10","0,11","0,13"
100,"0,00","0,03","0,06","0,09","0,11","0,14","0,17","0,20","0,23","0,26"
150,"0,00","0,04","0,09","0,13","0,17","0,21","0,26","0,30","0,34","0,39"
200,"0,00","0,06","0,11","0,17","0,23","0,28","0,34","0,40","0,46","0,51"
300,"0,00","0,09","0,17","0,26","0,34","0,43","0,52","0,60","0,69","0,77"
400,"0,00","0,11","0,23","0,34","0,46","0,57","0,69","0,80","0,91","1,03"
500,"0,00","0,14","0,29","0,43","0,57","0,71","0,86","1,00","1,14","1,28"
600,"0,00","0,17","0,34","0,52","0,68","0,85","1,03","1,20","1,37","1,54"
750,"0,00","0,21","0,43","0,64","0,86","1,07","1,29","1,51","1,71","1,93"
900,"0,00","0,26","0,51","0,77","1,03","1,28","1,55","1,81","2,06","2,31"
1000,"0,00","0,28","0,57","0,86","1,14","1,42","1,72","2,01","2,29","2,57"
1200,"0,00","0,34","0,69","1,03","1,37","1,71","2,07","2,41","2,74","3,08"
1400,"0,00","0,40","0,80","1,20","1,60","1,99","2,41","2,81","3,20","3,60"
1500,"0,00","0,43","0,86","1,29","1,71","2,14","2,58","3,01","3,43","3,85"
1700,"0,00","0,48","0,97","1,46","1,94","2,42","2,93","3,41","3,89","4,37"
1800,"0,00","0,51","1,03","1,55","2,05","2,56","3,10","3,61","4,11","4,62"
1900,"0,00","0,54","1,09","1,63","2,17","2,71","3,27","3,82","4,34","4,88"
2000,"0,00","0,57","1,14","1,72","2,28","2,85","3,44","4,02","4,57","5,14"
