"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00/1,01","1,02/1,05","1,06/1,11","1,12/1,18","1,19/1,26","1,27/1,38","1,39/1,57","1,58/1,94","1,95/3,38","OVER 3,39"
100,"0,00","0,01","0,02","0,03","0,04","0,04","0,05","0,06","0,06","0,07"
200,"0,00","0,01","0,03","0,05","0,07","0,09","0,10","0,12","0,13","0,14"
500,"0,00","0,03","0,08","0,13","0,18","0,22","0,26","0,29","0,32","0,34"
700,"0,00","0,04","0,11","0,19","0,26","0,31","0,36","0,41","0,45","0,47"
900,"0,00","0,05","0,14","0,24","0,33","0,40","0,47","0,53","0,57","0,61"
1.000,"0,00","0,06","0,15","0,27","0,37","0,44","0,52","0,59","0,64","0,68"
1.400,"0,00","0,08","0,22","0,38","0,51","0,62","0,73","0,82","0,89","0,95"
1.500,"0,00","0,09","0,23","0,40","0,55","0,67","0,78","0,88","0,96","1,01"
1.700,"0,00","0,10","0,26","0,46","0,62","0,75","0,88","1,00","1,08","1,15"
1.800,"0,00","0,10","0,28","0,48","0,66","0,80","0,94","1,05","1,15","1,22"
2.000,"0,00","0,11","0,31","0,54","0,73","0,89","1,04","1,17","1,28","1,35"
2.500,"0,00","0,14","0,39","0,67","0,92","1,11","1,30","1,46","1,59","1,69"
2.900,"0,00","0,16","0,45","0,78","1,06","1,29","1,51","1,70","1,85","1,96"
3.000,"0,00","0,17","0,46","0,81","1,10","1,33","1,56","1,76","1,91","2,03"
3.500,"0,00","0,20","0,54","0,94","1,28","1,55","1,82","2,05","2,23","2,36"
3.600,"0,00","0,20","0,56","0,97","1,32","1,60","1,87","2,11","2,30","2,43"
4.000,"0,00","0,23","0,62","1,08","1,47","1,78","2,08","2,34","2,55","2,70"
4.600,"0,00","0,26","0,71","1,24","1,69","2,04","2,39","2,69","2,93","3,11"
