"P (kW) referred to i
d",,,,,,,,,,
RPM / I,"1,00 / 1,01","1,02 / 1,03","1,04 / 1,06","1,07 / 1,08","1,09 / 1,12","1,13 / 1,16","1,17 / 1,22","1,23 / 1,32","1,33 / 1,50","OVER 1,51"
100,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,02","0,02"
200,"0,00","0,00","0,01","0,01","0,02","0,02","0,02","0,03","0,03","0,04"
300,"0,00","0,01","0,01","0,02","0,02","0,03","0,04","0,04","0,05","0,05"
400,"0,00","0,01","0,02","0,02","0,03","0,04","0,05","0,06","0,06","0,07"
500,"0,00","0,01","0,02","0,03","0,04","0,05","0,06","0,07","0,08","0,09"
600,"0,00","0,01","0,02","0,04","0,05","0,06","0,07","0,08","0,10","0,11"
700,"0,00","0,01","0,03","0,04","0,06","0,07","0,08","0,10","0,11","0,13"
800,"0,00","0,02","0,03","0,05","0,06","0,08","0,10","0,11","0,13","0,14"
900,"0,00","0,02","0,04","0,05","0,07","0,09","0,11","0,13","0,14","0,16"
1000,"0,00","0,02","0,04","0,06","0,08","0,10","0,12","0,14","0,16","0,18"
1200,"0,00","0,02","0,05","0,07","0,10","0,12","0,14","0,17","0,19","0,21"
1400,"0,00","0,03","0,06","0,08","0,11","0,14","0,17","0,20","0,22","0,25"
1600,"0,00","0,03","0,06","0,10","0,13","0,16","0,19","0,22","0,25","0,29"
1800,"0,00","0,04","0,07","0,11","0,14","0,18","0,22","0,25","0,29","0,32"
2000,"0,00","0,04","0,08","0,12","0,16","0,20","0,24","0,28","0,32","0,36"
2400,"0,00","0,05","0,10","0,14","0,19","0,24","0,29","0,34","0,38","0,43"
2800,"0,00","0,06","0,11","0,17","0,22","0,28","0,34","0,39","0,45","0,50"
3200,"0,00","0,06","0,13","0,19","0,25","0,32","0,38","0,45","0,51","0,57"
3500,"0,00","0,07","0,14","0,21","0,28","0,35","0,42","0,49","0,56","0,63"
4000,"0,00","0,08","0,16","0,24","0,32","0,40","0,48","0,56","0,64","0,72"
4600,"0,00","0,09","0,18","0,28","0,37","0,46","0,55","0,64","0,73","0,82"
5000,"0,00","0,10","0,20","0,30","0,40","0,50","0,60","0,70","0,80","0,89"
